Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,21,CHS,BAA,SG,61,NA,NA,5.5,16.7,0.329,3.4,4.6,0.737,NA,0.7,2,14.4
1947-48,22,CHS,BAA,SG,48,NA,NA,7.8,24.1,0.323,5.4,6.9,0.784,NA,0.6,2.6,21
1948-49,23,CHS,BAA,SG,58,NA,NA,7.3,21,0.35,6,7.1,0.84,NA,2.6,2.7,20.6
1949-50,24,CHS,NBA,SG,68,NA,NA,5.8,16.6,0.351,4.7,5.6,0.843,NA,2.3,2.7,16.4
1950-51,25,NYK,NBA,SG,66,NA,NA,4.6,12.9,0.354,3.5,4.5,0.775,3.5,2.1,2.3,12.7
1951-52,26,NYK,NBA,SG,66,NA,32,4.9,14.5,0.336,4.3,5.8,0.755,2.9,2.4,2.8,14.1
1952-53,27,NYK,NBA,SG,29,NA,24.9,4.2,11,0.384,3.4,4.9,0.69,2.6,1.9,2.8,11.9
1953-54,28,TOT,NBA,SG,65,NA,28.9,4.3,11.6,0.368,3.9,5.5,0.714,2.5,2.4,2.2,12.5
1953-54,28,BLB,NBA,SG,11,NA,38,5.2,14.7,0.352,6,7.8,0.767,3.9,3,2.2,16.4
1953-54,28,MLH,NBA,SG,9,NA,33.2,5.2,15.3,0.341,4.7,6.6,0.712,3.1,2.6,1.9,15.1
1953-54,28,FTW,NBA,SG,45,NA,25.9,3.9,10.1,0.382,3.3,4.7,0.693,2,2.2,2.2,11
1954-55,29,FTW,NBA,SG,70,NA,26.6,3.8,11.7,0.328,3.5,5,0.702,2.7,2.9,1.9,11.2
1955-56,30,FTW,NBA,SG,9,NA,20.2,3.2,9,0.358,3.3,3.9,0.857,1.8,1.8,2,9.8
Career,NA,,TOT,,540,NA,28.3,5.3,15.4,0.343,4.2,5.5,0.769,2.8,2,2.4,14.8
,NA,,NBA,,373,NA,28.3,4.6,13.2,0.35,3.9,5.2,0.755,2.8,2.3,2.4,13.2
,NA,,BAA,,167,NA,NA,6.8,20.3,0.334,4.9,6.1,0.794,NA,1.3,2.4,18.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CHS,BAA,,235,NA,NA,6.5,19.3,0.338,4.8,6,0.807,NA,1.6,2.5,17.9
3 seasons,NA,NYK,NBA,,161,NA,29.8,4.6,13.2,0.351,3.8,5.1,0.751,3.1,2.2,2.6,13.1
3 seasons,NA,FTW,NBA,,124,NA,25.9,3.8,11,0.348,3.4,4.8,0.708,2.4,2.6,2,11
1 season,NA,BLB,NBA,,11,NA,38,5.2,14.7,0.352,6,7.8,0.767,3.9,3,2.2,16.4
1 season,NA,MLH,NBA,,9,NA,33.2,5.2,15.3,0.341,4.7,6.6,0.712,3.1,2.6,1.9,15.1
