Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,26,MIL,NBA,C,81,NA,3548,12.2,22.6,0.539,NA,NA,NA,12.2,22.6,0.539,3.8,5.4,0.702,3.7,11.4,15.1,5,1.4,3.6,NA,3.1,28.1,NA,NA,89
1974-75,27,MIL,NBA,C,65,NA,2747,13.9,27.1,0.513,NA,NA,NA,13.9,27.1,0.513,5.6,7.3,0.763,3.3,12.3,15.6,4.5,1.1,3.6,NA,3.5,33.4,NA,NA,92
1975-76,28,LAL,NBA,C,82,NA,3379,12,22.7,0.529,NA,NA,NA,12,22.7,0.529,5.9,8.4,0.703,3.6,14.6,18.2,5.4,1.6,4.4,NA,3.8,29.9,NA,NA,90
1976-77,29,LAL,NBA,C,82,NA,3016,13.5,23.3,0.579,NA,NA,NA,13.5,23.3,0.579,5.7,8.1,0.701,4,12.5,16.6,4.8,1.5,4,NA,4,32.7,NA,NA,92
1977-78,30,LAL,NBA,C,62,NA,2265,13.2,24.1,0.55,NA,NA,NA,13.2,24.1,0.55,5.5,7,0.783,3.7,12.3,16,5.4,2.1,3.7,4.2,3.6,32,NA,113,94
1978-79,31,LAL,NBA,C,80,NA,3157,11.2,19.3,0.577,NA,NA,NA,11.2,19.3,0.577,5,6.8,0.736,3,11.7,14.7,6.2,1.1,4.5,4,3.3,27.3,NA,115,98
1979-80,32,LAL,NBA,C,82,NA,3143,12.3,20.3,0.604,0,0,0,12.3,20.3,0.604,5.3,7,0.765,2.8,10.2,13,5.4,1.2,4.1,4.4,3.2,29.8,NA,118,100
1980-81,33,LAL,NBA,C,80,NA,2976,13.1,22.9,0.574,0,0,0,13.1,22.9,0.574,6.6,8.7,0.766,3.1,9.8,12.9,4.3,0.9,3.6,3.9,3.8,32.9,NA,118,101
1981-82,34,LAL,NBA,C,76,76,2677,13.1,22.6,0.579,0,0.1,0,13.1,22.6,0.58,5.4,7.7,0.706,3,8.5,11.5,3.9,1.1,3.6,4,3.9,31.6,NA,116,104
1982-83,35,LAL,NBA,C,79,79,2554,13.1,22.2,0.588,0,0,0,13.1,22.2,0.589,5,6.7,0.749,3,7.7,10.7,3.6,1.1,3.1,3.6,4,31.2,NA,118,104
1983-84,36,LAL,NBA,C,80,80,2622,12.6,21.9,0.578,0,0,0,12.6,21.8,0.579,5,7,0.723,3,7.4,10.4,3.7,1,2.5,3.9,3.7,30.3,NA,115,107
1984-85,37,LAL,NBA,C,79,79,2630,12.8,21.3,0.599,0,0,0,12.8,21.3,0.6,5.1,7,0.732,2.9,8.1,11,4.4,1.1,2.9,3.5,4.2,30.7,NA,120,105
1985-86,38,LAL,NBA,C,79,79,2629,13.4,23.8,0.564,0,0,0,13.4,23.7,0.565,6,7.8,0.765,2.4,6.1,8.5,5,1.2,2.3,3.6,4.4,32.8,NA,118,106
1986-87,39,LAL,NBA,C,78,78,2441,10.8,19.2,0.564,0,0.1,0.333,10.8,19.2,0.565,4.7,6.6,0.714,2.9,7.2,10.1,3.9,0.9,1.9,3.6,4.7,26.4,NA,114,107
1987-88,40,LAL,NBA,C,80,80,2308,10.1,19,0.532,0,0,0,10.1,18.9,0.532,4.3,5.6,0.762,2.5,7.6,10,2.8,1,1.9,3.3,4.5,24.4,NA,109,107
1988-89,41,LAL,NBA,C,74,74,1695,8.9,18.6,0.475,0,0.1,0,8.9,18.6,0.477,3.5,4.7,0.739,2.9,6.5,9.4,2.1,1.1,2.4,2.7,5.5,21.2,NA,104,107
Career,NA,,NBA,,1239,625,43787,12.4,22,0.559,0,0,0.056,12.4,22,0.56,5.2,7.1,0.721,3.1,9.9,13.1,4.5,1.2,3.4,2.7,3.9,29.9,NA,115,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14 seasons,NA,LAL,NBA,,1093,625,37492,12.3,21.6,0.567,0,0,0.056,12.3,21.6,0.568,5.3,7.2,0.737,3.1,9.6,12.7,4.5,1.2,3.3,3.1,4,29.8,NA,115,101
6 seasons,NA,MIL,NBA,,146,NA,6295,12.9,24.5,0.547,NA,NA,NA,12.9,24.5,0.547,4.5,6.2,0.695,3.5,11.8,15.3,4.8,1.3,3.6,NA,3.2,30.4,NA,NA,90
