Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,MIL,NBA,C,82,NA,3534,9.6,18.4,0.518,NA,NA,NA,9.6,18.4,0.518,4.9,7.6,0.653,NA,NA,12.1,3.4,NA,NA,NA,2.9,24.1
1970-71,23,MIL,NBA,C,82,NA,3288,11.6,20.2,0.577,NA,NA,NA,11.6,20.2,0.577,5.1,7.5,0.69,NA,NA,14.4,3,NA,NA,NA,2.9,28.4
1971-72,24,MIL,NBA,C,81,NA,3583,11.6,20.3,0.574,NA,NA,NA,11.6,20.3,0.574,5.1,7.4,0.689,NA,NA,13.5,3.7,NA,NA,NA,2.4,28.4
1972-73,25,MIL,NBA,C,76,NA,3254,10.9,19.6,0.554,NA,NA,NA,10.9,19.6,0.554,3.6,5.1,0.713,NA,NA,13.5,4.2,NA,NA,NA,2.3,25.4
1973-74,26,MIL,NBA,C,81,NA,3548,9.6,17.8,0.539,NA,NA,NA,9.6,17.8,0.539,3,4.3,0.702,2.9,9,12,3.9,1.1,2.9,NA,2.4,22.2
1974-75,27,MIL,NBA,C,65,NA,2747,10.6,20.8,0.513,NA,NA,NA,10.6,20.8,0.513,4.3,5.6,0.763,2.5,9.4,12,3.5,0.9,2.8,NA,2.7,25.5
1975-76,28,LAL,NBA,C,82,NA,3379,9.7,18.4,0.529,NA,NA,NA,9.7,18.4,0.529,4.8,6.8,0.703,2.9,11.8,14.7,4.4,1.3,3.6,NA,3.1,24.2
1976-77,29,LAL,NBA,C,82,NA,3016,10.6,18.3,0.579,NA,NA,NA,10.6,18.3,0.579,4.5,6.4,0.701,3.2,9.8,13,3.8,1.2,3.1,NA,3.1,25.7
1977-78,30,LAL,NBA,C,62,NA,2265,10.5,19.2,0.55,NA,NA,NA,10.5,19.2,0.55,4.4,5.6,0.783,3,9.8,12.7,4.3,1.6,2.9,3.3,2.9,25.4
1978-79,31,LAL,NBA,C,80,NA,3157,8.9,15.4,0.577,NA,NA,NA,8.9,15.4,0.577,4,5.4,0.736,2.4,9.3,11.7,4.9,0.9,3.6,3.2,2.6,21.7
1979-80,32,LAL,NBA,C,82,NA,3143,9.6,15.8,0.604,0,0,0,9.6,15.8,0.604,4.2,5.5,0.765,2.2,8,10.1,4.2,0.9,3.2,3.4,2.5,23.3
1980-81,33,LAL,NBA,C,80,NA,2976,10.1,17.6,0.574,0,0,0,10.1,17.6,0.574,5.1,6.7,0.766,2.4,7.5,9.9,3.3,0.7,2.8,3,3,25.3
1981-82,34,LAL,NBA,C,76,76,2677,10.1,17.5,0.579,0,0,0,10.1,17.5,0.58,4.2,5.9,0.706,2.3,6.5,8.9,3,0.8,2.8,3.1,3,24.4
1982-83,35,LAL,NBA,C,79,79,2554,10.2,17.3,0.588,0,0,0,10.2,17.3,0.589,3.9,5.2,0.749,2.4,6,8.3,2.8,0.9,2.4,2.8,3.1,24.3
1983-84,36,LAL,NBA,C,80,80,2622,9.8,17,0.578,0,0,0,9.8,17,0.579,3.9,5.4,0.723,2.3,5.7,8.1,2.9,0.8,2,3,2.9,23.6
1984-85,37,LAL,NBA,C,79,79,2630,9.9,16.5,0.599,0,0,0,9.9,16.5,0.6,4,5.4,0.732,2.2,6.3,8.5,3.4,0.9,2.2,2.7,3.3,23.7
1985-86,38,LAL,NBA,C,79,79,2629,10.3,18.3,0.564,0,0,0,10.3,18.3,0.565,4.6,6,0.765,1.8,4.7,6.5,3.8,0.9,1.8,2.8,3.4,25.3
1986-87,39,LAL,NBA,C,78,78,2441,8.3,14.6,0.564,0,0,0.333,8.2,14.6,0.565,3.6,5.1,0.714,2.2,5.5,7.7,3,0.7,1.4,2.7,3.6,20.1
1987-88,40,LAL,NBA,C,80,80,2308,7.5,14.1,0.532,0,0,0,7.5,14.1,0.532,3.2,4.2,0.762,1.8,5.6,7.5,2.1,0.7,1.4,2.5,3.4,18.2
1988-89,41,LAL,NBA,C,74,74,1695,6.6,14,0.475,0,0.1,0,6.6,13.9,0.477,2.6,3.5,0.739,2.2,4.9,7.1,1.6,0.8,1.8,2,4.2,15.9
Career,NA,,NBA,,1560,625,57446,9.9,17.7,0.559,0,0,0.056,9.9,17.7,0.56,4.2,5.8,0.721,2.4,7.7,10.9,3.5,1,2.6,2.9,2.9,24.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14 seasons,NA,LAL,NBA,,1093,625,37492,9.5,16.8,0.567,0,0,0.056,9.5,16.8,0.568,4.1,5.6,0.737,2.4,7.5,9.9,3.5,0.9,2.6,2.9,3.1,23.2
6 seasons,NA,MIL,NBA,,467,NA,19954,10.6,19.5,0.547,NA,NA,NA,10.6,19.5,0.547,4.3,6.2,0.695,2.8,9.2,12.9,3.6,1,2.8,NA,2.6,25.6
