Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Wali Jones,,4,4,2.5,1.3,1.2,1.1,0.8,0.5,0.3,0.3,0.2,NA,NA
Doug West,84.5,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1,NA
Marquis Daniels,84.4,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1,NA,NA,NA
Kevin Ollie,82.7,3.8,2.4,2.4,1.4,1.2,1.1,0.9,0.6,0.5,0.3,0.1,0,-0.1
Keith Askins,80.8,4.4,4.3,1.9,1.4,0.7,0.7,0.6,0.3,0.2,NA,NA,NA,NA
Keyon Dooling,80.8,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.6,0.3,0.3,0.2,0
Tony Delk,80.7,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4,NA,NA,NA
Charles Johnson,80.1,3.7,2.8,2.4,1.4,1.1,1,0.9,NA,NA,NA,NA,NA,NA
Jim King,78.1,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,NA,NA,NA
John Battle,78.0,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5,0.2,NA,NA,NA
Dudley Bradley,78.0,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA,NA,NA
