Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1993-94,23,DET,NBA,PG,82,26,2172,7.9,21,0.375,1.6,4.9,0.333,6.2,16.1,0.388,2.4,3.3,0.732,1.1,3.3,4.4,9.2,2.8,0.2,4.3,4.1,19.8,NA,92,111
1994-95,24,DET,NBA,PG,42,26,944,6.5,17.4,0.374,2,5.9,0.333,4.5,11.5,0.395,2.2,3,0.727,1.3,2.8,4.1,8.7,2.8,0.4,4.3,5.1,17.1,NA,94,114
1995-96,25,DET,NBA,PG,80,48,2138,6.1,16.1,0.381,3,7.4,0.405,3.1,8.7,0.36,2.2,3.1,0.7,1.1,3.8,5,4.8,2.2,0.5,2,4.7,17.4,NA,105,106
1996-97,26,DET,NBA,PG,82,76,3023,7.9,19.6,0.404,3.1,8.8,0.355,4.8,10.8,0.444,3,3.8,0.778,1.1,3.3,4.4,2.9,2.4,0.5,1.8,3.9,21.9,NA,107,106
1997-98,27,DET,NBA,PG,71,67,2505,6.9,17.9,0.383,1.8,5.8,0.321,5,12.2,0.412,3.1,4.3,0.74,1.3,4,5.4,4.9,2.7,0.2,2.4,3.8,18.7,NA,101,104
1998-99,28,DET,NBA,PG,49,49,1755,7.2,16.6,0.435,1.9,4.8,0.386,5.4,11.8,0.456,2.1,2.8,0.753,0.8,4.5,5.3,6.1,2.7,0.3,2.9,4,18.4,NA,104,101
1999-00,29,DET,NBA,PG,82,82,2919,6.5,15.3,0.425,2.9,6.7,0.432,3.6,8.6,0.419,2,2.6,0.76,0.6,3.7,4.3,5.6,2.2,0.4,2.5,3.7,17.9,NA,108,107
2000-01,30,MIL,NBA,PG,82,5,2002,7.8,20.4,0.381,4,10.6,0.373,3.8,9.8,0.388,2,2.5,0.802,0.8,3.6,4.4,5.8,2.7,0.3,1.8,4.5,21.5,NA,108,106
2001-02,31,LAL,NBA,PG,82,47,1616,6,15.8,0.382,2.5,6.7,0.38,3.5,9.1,0.383,0.6,1.3,0.5,0.6,3.3,3.9,4.2,2.1,0.6,1.8,3.9,15.3,NA,98,104
2002-03,32,TOR,NBA,PG,29,0,673,8.4,24,0.351,2.7,8.5,0.318,5.7,15.5,0.369,2.7,3.7,0.723,1.2,3.5,4.7,5.6,2.8,0.4,4.5,4,22.2,NA,86,107
2003-04,33,DET,NBA,SG,33,8,661,4,11.8,0.343,1.2,4.1,0.28,2.9,7.7,0.376,0.4,0.7,0.625,1.1,4.5,5.5,7,3.2,0.5,2.8,3.7,9.7,NA,88,96
2004-05,34,DET,NBA,SG,76,3,1144,5.2,14.5,0.358,1.1,4,0.274,4.1,10.5,0.39,2.2,2.8,0.793,1.8,4.1,5.9,6.3,3.3,0.6,3.3,6,13.7,NA,93,100
2005-06,35,DET,NBA,PG,30,1,353,5.8,15.7,0.37,1.7,6.7,0.256,4.1,8.9,0.456,0.3,0.6,0.5,1.6,4.7,6.3,9.7,3,0.2,3.1,6.9,13.6,NA,97,103
2006-07,36,DET,NBA,PG,52,0,745,6.9,18,0.385,2.8,8.8,0.319,4.1,9.2,0.448,2.2,2.4,0.909,0.7,2.8,3.5,6.9,2.5,0.5,2.6,4.1,18.9,NA,104,106
2007-08,37,DET,NBA,PG,24,0,215,5.6,16.4,0.344,1.8,6.6,0.269,3.8,9.7,0.395,1.8,2.3,0.778,1,2.3,3.3,8.4,3.3,0.5,3.3,7.7,14.8,NA,94,103
2008-09,38,CHI,NBA,PG,28,0,266,5.2,15.9,0.329,3.1,9.3,0.333,2.1,6.6,0.324,0.6,1,0.6,0.4,1.9,2.3,7.2,3.9,0.2,3.7,5.4,14.2,NA,89,108
2009-10,39,CHI,NBA,PG,13,0,122,2.1,12.7,0.167,0.4,5.5,0.077,1.7,7.2,0.235,0.8,0.8,1,0.4,5.5,5.9,3.8,0.4,0,1.7,5.1,5.5,NA,56,110
Career,NA,,NBA,,937,438,23253,6.8,17.6,0.388,2.5,6.9,0.36,4.4,10.7,0.405,2.2,2.9,0.746,1,3.6,4.6,5.8,2.6,0.4,2.7,4.3,18.3,NA,101,106
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 seasons,NA,DET,NBA,,703,386,18574,6.8,17.3,0.393,2.3,6.4,0.36,4.5,10.9,0.412,2.3,3.1,0.752,1.1,3.7,4.8,5.9,2.6,0.4,2.8,4.3,18.2,NA,101,106
1 season,NA,LAL,NBA,,82,47,1616,6,15.8,0.382,2.5,6.7,0.38,3.5,9.1,0.383,0.6,1.3,0.5,0.6,3.3,3.9,4.2,2.1,0.6,1.8,3.9,15.3,NA,98,104
1 season,NA,MIL,NBA,,82,5,2002,7.8,20.4,0.381,4,10.6,0.373,3.8,9.8,0.388,2,2.5,0.802,0.8,3.6,4.4,5.8,2.7,0.3,1.8,4.5,21.5,NA,108,106
2 seasons,NA,CHI,NBA,,41,0,388,4.3,14.9,0.286,2.3,8.1,0.279,2,6.8,0.294,0.7,0.9,0.714,0.4,3.1,3.5,6.1,2.8,0.1,3.1,5.3,11.4,NA,81,109
1 season,NA,TOR,NBA,,29,0,673,8.4,24,0.351,2.7,8.5,0.318,5.7,15.5,0.369,2.7,3.7,0.723,1.2,3.5,4.7,5.6,2.8,0.4,4.5,4,22.2,NA,86,107
