Season,Team,Lg,Salary
2012-13,Detroit Pistons,NBA,"$1,000,000"
2013-14,Detroit Pistons,NBA,"$1,045,000"
2014-15,Oklahoma City Thunder,NBA,"$1,090,000"
2015-16,Oklahoma City Thunder,NBA,"$5,000,000"
2016-17,Oklahoma City Thunder,NBA,"$4,837,500"
2017-18,Oklahoma City Thunder,NBA,"$4,666,500"
2018-19,Oklahoma City Thunder,NBA,"$999,200"
Career,(may be incomplete),,"$18,638,200"
