Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,22,NJN,NBA,SG,82,3012,16,0.523,0.352,0.191,3.6,8.1,5.7,14,2.7,0.9,9,20.1,NA,5.1,1.8,6.9,0.11,NA,1.4,0.4,1.8,2.9
1997-98,23,NJN,NBA,SG,77,2814,17.5,0.525,0.228,0.217,5.1,10.1,7.4,10.6,2.5,1,7.7,21.2,NA,6.2,2.2,8.4,0.144,NA,2.9,0.2,3.1,3.7
1998-99,24,NJN,NBA,SG,46,1570,13.5,0.446,0.258,0.186,3.5,10.4,6.7,13.3,2.6,1.2,9.1,20.5,NA,0.6,1.2,1.8,0.054,NA,-0.1,0.1,0,0.8
1999-00,25,NJN,NBA,SG,62,1896,16.1,0.535,0.344,0.182,2.6,10.9,6.6,12.7,2.2,0.7,6.9,19,NA,3.5,1.2,4.7,0.119,NA,1.7,0,1.6,1.7
2001-02,27,NJN,NBA,SG,82,2601,16.1,0.542,0.257,0.183,2.9,9,5.9,13.9,2.6,0.9,9.7,19.4,NA,3.8,3.9,7.7,0.141,NA,1.2,1.4,2.6,3
2002-03,28,NJN,NBA,SG,65,1951,18.3,0.55,0.308,0.19,3.1,11.7,7.4,15.4,2.7,1.2,6.7,19.1,NA,4.2,3.4,7.7,0.188,NA,2.5,2.1,4.7,3.3
2003-04,29,NJN,NBA,SG,82,2842,14.7,0.526,0.288,0.142,2.3,11.2,6.8,12.9,2.4,1.1,8.5,18.4,NA,3.1,4.5,7.6,0.128,NA,0.4,1.2,1.6,2.6
2004-05,30,LAC,NBA,SG,11,243,10,0.446,0.288,0.137,0.5,14.9,7.9,13.4,1.8,0.9,8.3,16.1,NA,0,0.2,0.2,0.04,NA,-1.6,0.7,-0.9,0.1
Career,NA,,NBA,,507,16929,16,0.523,0.29,0.185,3.3,10.1,6.6,13.2,2.5,1,8.3,19.6,NA,26.4,18.5,44.8,0.127,NA,1.4,0.8,2.2,18
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,NJN,NBA,,496,16686,16.1,0.524,0.29,0.185,3.3,10.1,6.6,13.2,2.5,1,8.3,19.7,NA,26.4,18.2,44.6,0.128,NA,1.5,0.8,2.3,18
1 season,NA,LAC,NBA,,11,243,10,0.446,0.288,0.137,0.5,14.9,7.9,13.4,1.8,0.9,8.3,16.1,NA,0,0.2,0.2,0.04,NA,-1.6,0.7,-0.9,0.1
