Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1964-65,22,CIN,NBA,C,39,NA,7.4,1.1,4,0.265,0.2,0.8,0.3,2.6,0.3,1.5,2.3
1965-66,23,CIN,NBA,C,47,NA,5.9,1.1,2.9,0.391,0.6,0.9,0.643,2.1,0.4,1.2,2.9
1966-67,24,TOT,NBA,C,55,NA,10.4,1.5,4.3,0.363,1.1,1.6,0.674,3.7,0.3,1.7,4.1
1966-67,24,CIN,NBA,C,12,NA,10.4,0.7,3.4,0.195,1.1,1.3,0.813,3.6,0,1.6,2.4
1966-67,24,CHI,NBA,C,43,NA,10.4,1.8,4.5,0.399,1,1.6,0.643,3.8,0.3,1.7,4.6
1967-68,25,SEA,NBA,C,77,NA,16.1,2.3,6.5,0.359,1.4,2,0.703,6.1,0.7,2.8,6.1
1968-69,26,TOT,NBA,C,79,NA,23.4,3.4,8.4,0.41,1.9,3,0.651,9.1,1.4,2.9,8.8
1968-69,26,PHO,NBA,C,41,NA,31.6,4.7,11.7,0.397,2.3,3.7,0.616,12.3,1.9,3.5,11.6
1968-69,26,PHI,NBA,C,38,NA,14.5,2.1,4.8,0.445,1.6,2.2,0.714,5.7,0.8,2.3,5.8
1969-70,27,PHI,NBA,C,67,NA,12.5,1.8,4.5,0.388,1.8,2.6,0.709,4.7,0.8,2.2,5.3
1970-71,28,BUF,NBA,PF,46,NA,15.5,2,5.8,0.342,1.2,1.5,0.812,5,1,2.2,5.2
Career,NA,,NBA,,410,NA,14.1,2.1,5.5,0.372,1.3,1.9,0.677,5.2,0.7,2.2,5.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHI,NBA,,105,NA,13.2,1.9,4.6,0.409,1.7,2.4,0.711,5.1,0.8,2.2,5.5
3 seasons,NA,CIN,NBA,,98,NA,7,1.1,3.4,0.308,0.5,0.9,0.557,2.5,0.3,1.4,2.6
1 season,NA,SEA,NBA,,77,NA,16.1,2.3,6.5,0.359,1.4,2,0.703,6.1,0.7,2.8,6.1
1 season,NA,BUF,NBA,,46,NA,15.5,2,5.8,0.342,1.2,1.5,0.812,5,1,2.2,5.2
1 season,NA,CHI,NBA,,43,NA,10.4,1.8,4.5,0.399,1,1.6,0.643,3.8,0.3,1.7,4.6
1 season,NA,PHO,NBA,,41,NA,31.6,4.7,11.7,0.397,2.3,3.7,0.616,12.3,1.9,3.5,11.6
