Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Greg Oden,,4.6,2.2,0.5
Bill McGill,89.8,4.6,2.2,-0.1
Mike Sojourner,88.7,4.7,2.7,0.9
Randy Breuer,86.3,4.5,3,0.3
Ed Johnson,85.1,5.1,2.4,1
Matt Geiger,85.0,4.5,2.7,1.2
Cherokee Parks,84.6,3.8,2.2,0.9
Craig Raymond,82.8,4.7,1.7,0
Dale Schlueter,82.1,4.4,1.6,1.1
Rich Niemann,82.0,4.4,1.4,0.2
Benoit Benjamin,81.6,4,2,1.1
