Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Vladimir Stepania,,2.9,1.7,0.8,0.2,-0.1,-0.3
Howie Schultz,80.7,3,2,0.6,NA,NA,NA
Steve Patterson,77.2,3,1.5,0.9,0.1,-0.7,NA
Greg Stiemsma,74.5,2.7,1.7,1.5,0.1,NA,NA
Bob Christian,73.9,2.4,1.9,0.9,0.5,0,NA
Gene Conley,73.9,2.8,2.1,0.4,0,0,-0.1
Lucas Nogueira,73.5,3.7,1.6,0.7,0,NA,NA
Ed Kalafat,72.9,2.6,2.1,0.7,NA,NA,NA
Gustavo Ayón,72.2,3.2,1.2,0.7,NA,NA,NA
Festus Ezeli,72.2,2.7,1.7,1.5,NA,NA,NA
Jack Toomay,70.1,3.6,1.6,1.1,NA,NA,NA
