Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bryce Drew,,1.7,1.3,0,-0.1,-0.2,-0.4
Andrew Harrison,70.4,1.7,1.6,-0.1,NA,NA,NA
Quinn Cook,68.8,1.8,1.6,0.2,NA,NA,NA
Billy Shepherd,67.2,1.7,1.3,-0.3,NA,NA,NA
Fred LaCour,66.8,1.7,1.7,-0.1,NA,NA,NA
Richie Regan,64.5,1.6,1.5,0.4,NA,NA,NA
Eric Maynor,60.9,1.9,1.5,0.2,0.1,-0.4,NA
Lloyd Daniels,60.7,1.8,1.1,0.2,0.1,0,NA
Sidney Lowe,59.5,1.7,1.5,0.5,0.3,NA,NA
Steve Bracey,59.0,2.1,1.5,0.3,NA,NA,NA
Ollie Mack,58.7,1.6,1,-0.1,NA,NA,NA
