Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Devin Harris,,7.5,6.5,5.6,4.2,4.2,4.2,3.7,3.3,2.7,2.7,2.5,2.5,2.2,1.6,1.5
Jamal Crawford,87.0,7.3,5.4,5.3,5,4.5,4.2,4.1,3.6,3.4,3.3,3.1,2.8,2.3,0.6,-0.9
Sedale Threatt,86.9,7.3,7.1,4.6,4.6,4.5,3.8,3.7,3.4,2.7,2.5,2.1,1.3,0.4,0.1,NA
Vinnie Johnson,86.3,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,NA,NA
Jameer Nelson,85.6,6.6,6,5.6,5,4.9,4,3.5,2.8,2.8,2.5,2.1,1.4,0.6,0.5,NA
Jalen Rose,85.6,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,NA,NA
Derek Fisher,84.5,6.3,5.8,5.7,5.5,5.2,3.9,3.9,3.8,3.7,3.7,3.1,2.4,1.8,1.7,1.1
J.R. Smith,84.5,6.7,5.8,5.5,5,3.7,3.7,3.7,3.7,2.7,2.5,1.4,1.2,0.8,0.2,-0.2
John Lucas,84.3,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1,0.4,NA
Kendall Gill,83.1,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4
Tyrone Corbin,82.9,6.8,6.7,5.6,5.5,5.4,5.4,5,4.4,3,2.5,2.2,2.1,1.2,0.9,0.1
