Season,Team,Lg,Salary
2009-10,Oklahoma City Thunder,NBA,"$1,120,200"
2010-11,Oklahoma City Thunder,NBA,"$1,204,200"
2011-12,Oklahoma City Thunder,NBA,"$1,288,200"
2012-13,Oklahoma City Thunder,NBA,"$2,253,062"
2013-14,Oklahoma City Thunder,NBA,"$12,250,000"
2014-15,Oklahoma City Thunder,NBA,"$12,350,000"
2015-16,Oklahoma City Thunder,NBA,"$12,350,000"
2016-17,Toronto Raptors,NBA,"$12,250,000"
2017-18,Toronto Raptors,NBA,"$20,061,729"
2018-19,Toronto Raptors,NBA,"$21,666,667"
Career,(may be incomplete),,"$96,794,058"
