Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,23,PHI,NBA,,7,NA,4.3,0.4,1.3,0.333,0,0,NA,NA,NA,1,0.6,NA,NA,1.4,0.9
1966-67,24,PHI,NBA,PG,6,NA,4.8,0.8,1.7,0.5,0.3,0.8,0.4,NA,NA,0.5,1.7,NA,NA,1.3,2
1967-68,25,SEA,NBA,PG,82,NA,19.7,3.6,8.4,0.43,2.6,3.1,0.839,NA,NA,1.8,4.2,NA,NA,1.7,9.8
1968-69,26,TOT,NBA,PG,77,NA,19.2,2.5,6.5,0.379,1.7,2.1,0.8,NA,NA,2.1,2.6,NA,NA,2.3,6.6
1968-69,26,MIL,NBA,PG,15,NA,16.1,2.4,7.6,0.316,1.8,2.3,0.794,NA,NA,1.8,1.8,NA,NA,1.6,6.6
1968-69,26,CHI,NBA,PG,62,NA,19.9,2.5,6.2,0.397,1.6,2,0.802,NA,NA,2.2,2.8,NA,NA,2.4,6.6
1969-70,27,CHI,NBA,PG,82,NA,31,4.5,10.4,0.427,2.6,3.1,0.842,NA,NA,2.8,5.8,NA,NA,2.5,11.5
1970-71,28,CHI,NBA,PG,82,NA,27.3,3.4,8,0.422,2.8,3.3,0.84,NA,NA,2.3,4.7,NA,NA,2.6,9.5
1971-72,29,CHI,NBA,PG,82,NA,29.9,4.4,10.1,0.43,2.6,3.1,0.835,NA,NA,2.1,4.6,NA,NA,2.6,11.3
1972-73,30,CHI,NBA,PG,82,NA,25.4,3.4,8,0.426,1.9,2.3,0.841,NA,NA,1.8,3.6,NA,NA,1.8,8.7
1973-74,31,CHI,NBA,SG,79,NA,21.6,3.3,7.1,0.466,1.8,2.2,0.835,0.4,0.9,1.3,3.8,1.3,0.2,2,8.5
1974-75,32,BUF,NBA,PG,76,NA,17.6,1.3,3.4,0.391,0.7,0.9,0.806,0.3,1.1,1.4,3.4,1.1,0.3,1.9,3.4
1975-76,33,BUF,NBA,PG,66,NA,15.1,1.3,2.8,0.486,0.5,0.7,0.729,0.2,0.8,1,2.3,0.7,0.2,1.4,3.2
1976-77,34,WSB,NBA,PG,62,NA,12.4,1,2.1,0.466,0.5,0.6,0.784,0.2,0.9,1.1,2.1,0.9,0.1,1.1,2.5
Career,NA,,NBA,,783,NA,22.1,2.9,6.8,0.428,1.8,2.2,0.828,0.3,0.9,1.8,3.7,1,0.2,2,7.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,CHI,NBA,,469,NA,26.1,3.6,8.4,0.429,2.2,2.7,0.835,0.4,0.9,2.1,4.3,1.3,0.2,2.3,9.5
2 seasons,NA,BUF,NBA,,142,NA,16.4,1.3,3.1,0.43,0.6,0.8,0.774,0.2,1,1.2,2.9,0.9,0.2,1.7,3.3
1 season,NA,SEA,NBA,,82,NA,19.7,3.6,8.4,0.43,2.6,3.1,0.839,NA,NA,1.8,4.2,NA,NA,1.7,9.8
1 season,NA,WSB,NBA,,62,NA,12.4,1,2.1,0.466,0.5,0.6,0.784,0.2,0.9,1.1,2.1,0.9,0.1,1.1,2.5
1 season,NA,MIL,NBA,,15,NA,16.1,2.4,7.6,0.316,1.8,2.3,0.794,NA,NA,1.8,1.8,NA,NA,1.6,6.6
2 seasons,NA,PHI,NBA,,13,NA,4.5,0.6,1.5,0.421,0.2,0.4,0.4,NA,NA,0.8,1.1,NA,NA,1.4,1.4
