Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1996-97,21,IND,NBA,C,72,1052,11.8,0.451,0.003,0.5,11.1,22.1,16.7,6.9,1,5.6,17,21.7,NA,-1,1.9,0.9,0.04,NA,-4.4,0.7,-3.7,-0.4
1997-98,22,GSW,NBA,C,82,2656,14,0.502,0.003,0.504,10.6,18.3,14.4,6.1,0.8,3.6,15.3,18.7,NA,1.1,2.9,4,0.072,NA,-2.2,-0.2,-2.4,-0.3
1998-99,23,GSW,NBA,C,50,1414,11.8,0.439,0,0.493,12.1,16.9,14.4,6.4,1,3,15.4,18.7,NA,-0.2,1.8,1.5,0.051,NA,-2.9,-0.4,-3.4,-0.5
1999-00,24,GSW,NBA,C,21,495,9.6,0.427,0,0.295,9.6,19.5,14.2,6.2,0.8,2.1,12.9,19.1,NA,-0.3,0.3,-0.1,-0.006,NA,-4.7,-1.9,-6.6,-0.6
2000-01,25,GSW,NBA,C,43,1038,10,0.432,0.006,0.401,9.2,17,12.8,9.2,0.8,4,18.2,18.4,NA,-1,0.6,-0.5,-0.021,NA,-4.4,-0.8,-5.2,-0.8
2001-02,26,GSW,NBA,C,73,1740,11.3,0.484,0,0.44,10,13.9,11.9,7.8,0.5,6.5,21.4,17.6,NA,-0.8,1.1,0.3,0.009,NA,-3.9,0.4,-3.5,-0.7
2002-03,27,GSW,NBA,C,82,1978,15.8,0.543,0.004,0.425,13.5,15.7,14.6,4.6,0.7,5.1,15.3,15.7,NA,3.1,1,4.1,0.099,NA,-0.4,-0.6,-1,0.5
2003-04,28,GSW,NBA,C,74,2403,20.1,0.573,0.003,0.511,16.1,25.5,20.8,4.3,0.7,4.1,14.1,17.8,NA,5.5,3.4,8.9,0.178,NA,1.3,-0.3,1,1.8
2004-05,29,DAL,NBA,C,59,1609,15.2,0.58,0.008,0.621,13,21.7,17.4,4.9,0.5,3.7,17.9,15.8,NA,2.3,2.3,4.5,0.135,NA,-0.8,-0.1,-0.9,0.5
2005-06,30,DAL,NBA,C,82,1934,13.9,0.531,0,0.62,17.3,22.4,19.9,4,0.8,4.2,20.7,13.4,NA,1.9,2.9,4.8,0.119,NA,-1.5,-0.1,-1.7,0.2
2006-07,31,DAL,NBA,C,76,1915,14.9,0.642,0,0.572,14,21.5,17.8,3.5,0.7,3.3,20.4,12.8,NA,3.3,3.1,6.4,0.16,NA,-0.5,0.7,0.2,1.1
2007-08,32,DAL,NBA,C,72,1755,15.3,0.645,0,0.527,14.1,21.2,17.8,5.4,0.7,4.4,19,11.2,NA,3.3,2.8,6,0.165,NA,-0.2,1.2,1.1,1.4
2008-09,33,DAL,NBA,C,80,1836,15.7,0.664,0,0.504,13.6,21.6,17.7,6.1,0.7,3.8,17.8,10.4,NA,3.9,2.3,6.1,0.161,NA,0,0.6,0.6,1.2
2009-10,34,DAL,NBA,C,55,1280,14,0.637,0.014,0.474,11.6,24.1,17.9,3.5,0.6,4.5,19.2,11.4,NA,1.8,2,3.7,0.14,NA,-1.6,1,-0.6,0.5
2010-11,35,MIA,NBA,C,51,815,9.7,0.591,0.011,0.494,8.2,17.1,12.9,3.8,0.9,4.5,22.8,8.1,NA,0.5,1.4,1.9,0.109,NA,-2,1.7,-0.3,0.4
2011-12,36,ATL,NBA,C,15,83,5.5,0.125,0,0,14.3,21,17.7,6.5,0.6,3.7,27.3,6.2,NA,-0.1,0.1,0.1,0.035,NA,-4.9,0.2,-4.7,-0.1
Career,NA,,NBA,,987,24003,14.3,0.536,0.003,0.497,12.8,20.1,16.5,5.4,0.7,4.2,17.4,15.4,NA,23.2,29.5,52.7,0.105,NA,-1.5,0.1,-1.3,4.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,GSW,NBA,,425,11724,14.4,0.502,0.002,0.462,12.1,18.5,15.2,6,0.7,4.3,16.2,17.9,NA,7.3,11,18.3,0.075,NA,-1.8,-0.4,-2.2,-0.5
6 seasons,NA,DAL,NBA,,424,10329,14.9,0.611,0.003,0.562,14.1,22,18.1,4.6,0.7,4,19.2,12.5,NA,16.4,15.2,31.6,0.147,NA,-0.7,0.5,-0.2,4.7
1 season,NA,IND,NBA,,72,1052,11.8,0.451,0.003,0.5,11.1,22.1,16.7,6.9,1,5.6,17,21.7,NA,-1,1.9,0.9,0.04,NA,-4.4,0.7,-3.7,-0.4
1 season,NA,MIA,NBA,,51,815,9.7,0.591,0.011,0.494,8.2,17.1,12.9,3.8,0.9,4.5,22.8,8.1,NA,0.5,1.4,1.9,0.109,NA,-2,1.7,-0.3,0.4
1 season,NA,ATL,NBA,,15,83,5.5,0.125,0,0,14.3,21,17.7,6.5,0.6,3.7,27.3,6.2,NA,-0.1,0.1,0.1,0.035,NA,-4.9,0.2,-4.7,-0.1
