Season,Team,Lg,Salary
2006-07,Memphis Grizzlies,NBA,"$2,242,290"
2007-08,Memphis Grizzlies,NBA,"$2,411,160"
2008-09,Memphis Grizzlies,NBA,"$2,579,400"
2009-10,Memphis Grizzlies,NBA,"$3,280,997"
2010-11,Memphis Grizzlies,NBA,"$13,603,750"
2011-12,Memphis Grizzlies,NBA,"$15,032,144"
2012-13,Toronto Raptors,NBA,"$16,460,538"
2013-14,Sacramento Kings,NBA,"$17,888,931"
2014-15,Sacramento Kings,NBA,"$19,317,325"
2015-16,Sacramento Kings,NBA,"$12,403,101"
2016-17,Sacramento Kings,NBA,"$13,333,333"
2017-18,San Antonio Spurs,NBA,"$8,406,000"
2018-19,San Antonio Spurs,NBA,"$10,087,200"
Career,(may be incomplete),,"$137,046,169"
