Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Rajon Rondo,,9.9,9.6,7.2,6.6,4.9,4.6,3.6,3.2,2.4,2.3,1.6,1.3,1.1
Avery Johnson,88.5,9.1,8,6.7,6.3,5.2,4.1,3.9,3.4,2.6,1.6,1.3,0.5,0.3
Paul Pressey,87.7,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3,0.1,NA,NA
Sleepy Floyd,87.4,10,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1,0.9,-0.2,-0.4
Kevin Martin,87.4,10.2,9.5,8.4,7,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1,NA
Andy Phillip,87.3,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,NA,NA,NA
Randy Smith,87.3,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3,2.5,2.4,2.2,NA
Jerry Stackhouse,86.3,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.2
José Calderón,86.1,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4,3.7,1.8,0.9,0.9,0.3
DeMar DeRozan,86.0,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA,NA,NA
Vern Fleming,85.4,8.4,7,6.9,6.7,5.6,4.4,3.3,2.9,2,1.9,1.6,1.4,NA
