Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Kenny Carr,,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0,NA,NA
Ruben Patterson,89.4,6.7,5.6,5.5,5.4,3.4,3.2,3,2.1,0.2,0.1,NA,NA
Carl Landry,88.7,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,NA,NA,NA
Dave Gambee,87.4,7,5.3,5,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0,NA
George Lynch,86.2,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7,0
Willie Naulls,85.8,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4,NA,NA
Antoine Walker,85.7,6.7,6.6,5,4.7,3.9,3.6,2.6,2.6,1.7,0.9,0.1,-0.3
Larry Siegfried,85.6,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,NA,NA,NA
DeMarre Carroll,85.0,7,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.1,NA,NA
Terry Mills,85.0,6.3,6.2,3.9,3.8,3.8,3.7,3.7,1.3,0.9,0,-0.2,NA
Rodney Rogers,85.0,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2,0.3
