Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,21,POR,NBA,C,63,1392,17.1,0.533,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,NA,2.5,1,3.4,0.118,NA,-0.4,-1,-1.4,0.2
2007-08,22,POR,NBA,PF,76,2649,18.5,0.523,0.006,0.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,NA,3.5,2.8,6.2,0.113,NA,0.6,-0.4,0.2,1.5
2008-09,23,POR,NBA,PF,81,3004,19.1,0.529,0.023,0.269,9.5,15.6,12.5,9.3,1.4,2,8,23.7,NA,6.1,3.3,9.5,0.151,NA,1.7,-0.4,1.3,2.5
2009-10,24,POR,NBA,PF,78,2922,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,NA,5.5,3.3,8.8,0.145,NA,1.4,-0.2,1.2,2.3
2010-11,25,POR,NBA,PF,81,3211,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,NA,7.6,3.5,11.1,0.166,NA,2.6,-0.5,2.1,3.4
2011-12,26,POR,NBA,PF,55,1994,22.7,0.56,0.012,0.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27,NA,5.4,1.6,7,0.169,NA,3.4,-0.4,3,2.5
2012-13,27,POR,NBA,PF,74,2790,20.4,0.53,0.011,0.264,7.2,20.9,14,13,1.2,2.5,8.9,26.5,NA,4.8,2.3,7.2,0.124,NA,1.7,-0.4,1.3,2.3
2013-14,28,POR,NBA,PF,69,2498,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,NA,4,3.5,7.5,0.144,NA,2.3,0.1,2.3,2.7
2014-15,29,POR,NBA,PF,71,2512,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,NA,4.9,3.7,8.6,0.165,NA,3.2,-0.3,2.9,3.1
2015-16,30,SAS,NBA,PF,74,2261,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,NA,5.6,4.5,10.1,0.215,NA,2,0.3,2.3,2.5
2016-17,31,SAS,NBA,PF,72,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,NA,3.5,3.7,7.2,0.149,NA,0.7,0.1,0.8,1.7
2017-18,32,SAS,NBA,C,75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,NA,7.4,3.5,10.9,0.209,NA,4.3,-0.4,3.9,3.7
2018-19,33,SAS,NBA,C,81,2687,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,NA,6.4,2.9,9.3,0.167,NA,2.4,-0.6,1.8,2.6
2019-20,34,SAS,NBA,C,53,1754,19.8,0.571,0.198,0.241,6.3,17.8,12,11.4,1,4.4,7.8,23.6,NA,3.1,1.4,4.4,0.122,NA,1.8,-0.5,1.3,1.5
Career,NA,,NBA,,1003,34518,20.8,0.543,0.036,0.274,9,18.9,13.9,10.3,1.1,2.6,8,25.9,NA,70.4,41.1,111.4,0.155,NA,2,-0.3,1.7,32.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,POR,NBA,,648,22972,20.3,0.532,0.021,0.269,8.8,18.9,13.8,10.2,1.2,2.2,8.1,25.8,NA,44.4,25,69.4,0.145,NA,1.9,-0.4,1.5,20.5
5 seasons,NA,SAS,NBA,,355,11546,21.9,0.563,0.065,0.284,9.2,18.8,14.1,10.5,0.9,3.3,7.8,26.2,NA,26,16,42.1,0.175,NA,2.3,-0.2,2.1,11.9
