Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Larry Krystkowiak,,6.3,2.6,2.1,1.8,1.4,1,0.3,0.1,0.1,NA,NA
Tim Perry,90.0,5.7,2.6,2,1.4,1.4,1.2,0.3,-0.1,NA,NA,NA
Tyler Zeller,89.6,6.5,2.9,2.6,2,1.7,1,0.3,NA,NA,NA,NA
Ben Warley,83.0,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,NA,NA,NA
Samaki Walker,82.3,5.3,2.1,2,1.9,1.4,0.7,0.6,0.5,0,-0.1,NA
Jon Leuer,80.8,4.5,2.7,2,1.4,1.3,0.9,0.2,0.1,NA,NA,NA
James Bailey,79.8,4.9,2.9,2.3,2,1.9,1,0.6,0.4,0.3,NA,NA
Neil Johnson,79.8,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3,NA,NA,NA,NA
Etan Thomas,78.7,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,NA,NA
Jim Baechtold,77.9,6,3.2,2.6,2.1,0.9,NA,NA,NA,NA,NA,NA
Josh McRoberts,77.9,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0
