Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,23,GSW,NBA,C,49,18,20.8,3.7,6.9,0.529,0,0.3,0.143,3.6,6.7,0.546,0.532,1.6,3,0.521,2.2,3.5,5.7,0.8,0.4,1.1,1.7,2.5,8.9
1995-96,24,TOR,NBA,PF,56,18,18.6,3.2,6.1,0.517,0.1,0.4,0.143,3.1,5.8,0.542,0.522,1.3,2.3,0.546,1.4,1.6,3,0.6,0.4,0.9,1.1,1.6,7.7
1996-97,25,TOR,NBA,PF,56,3,24.9,3.8,7.2,0.525,0.4,1.2,0.379,3.3,6,0.553,0.556,1.8,3,0.6,2.1,3.3,5.4,0.7,0.8,1.2,0.9,2.5,9.8
1997-98,26,TOT,NBA,PF,21,0,17.9,2.2,4.3,0.516,0,0.1,0,2.2,4.2,0.528,0.516,0.9,1.5,0.563,1.7,1.5,3.2,0.9,0.5,0.4,0.7,1.7,5.3
1997-98,26,TOR,NBA,PF,18,0,19.5,2.5,4.8,0.517,0,0.1,0,2.5,4.8,0.523,0.517,1,1.8,0.563,1.9,1.7,3.6,0.9,0.5,0.4,0.7,1.9,6
1997-98,26,POR,NBA,PF,3,0,8.3,0.7,1.3,0.5,0,0.3,0,0.7,1,0.667,0.5,0,0,NA,0.3,0.3,0.7,0.7,0.3,0,0.3,0.3,1.3
1998-99,27,POR,NBA,PF,2,0,4,1,1,1,0,0,NA,1,1,1,1,0.5,2,0.25,0,0.5,0.5,0.5,0,0,0,1,2.5
1999-00,28,HOU,NBA,C,53,15,20.8,3.2,6.1,0.525,0,0.3,0.071,3.2,5.8,0.545,0.526,1.5,2.6,0.591,1.8,3.3,5.2,0.8,0.3,0.6,1.2,1.5,8
2000-01,29,HOU,NBA,C,39,0,13.9,1.9,2.8,0.682,0,0,0,1.9,2.8,0.688,0.682,0.7,1.3,0.558,1.2,2.3,3.6,0.2,0.3,0.5,0.4,0.8,4.6
2001-02,30,IND,NBA,C,22,1,7.6,1.1,2,0.558,0,0.3,0.167,1,1.7,0.622,0.57,0.5,0.9,0.526,0.6,1.1,1.7,0.1,0.2,0.3,0.2,0.8,2.7
Career,NA,,NBA,,298,55,19,3,5.6,0.536,0.1,0.4,0.258,2.9,5.1,0.558,0.545,1.3,2.3,0.562,1.7,2.6,4.3,0.6,0.4,0.8,1,1.7,7.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,TOR,NBA,,130,21,21.5,3.3,6.4,0.521,0.2,0.7,0.318,3.1,5.7,0.545,0.538,1.5,2.6,0.575,1.8,2.3,4.1,0.7,0.6,1,1,2,8.4
2 seasons,NA,HOU,NBA,,92,15,17.9,2.7,4.7,0.565,0,0.2,0.067,2.7,4.6,0.582,0.566,1.2,2.1,0.582,1.6,2.9,4.5,0.6,0.3,0.6,0.9,1.2,6.5
1 season,NA,GSW,NBA,,49,18,20.8,3.7,6.9,0.529,0,0.3,0.143,3.6,6.7,0.546,0.532,1.6,3,0.521,2.2,3.5,5.7,0.8,0.4,1.1,1.7,2.5,8.9
1 season,NA,IND,NBA,,22,1,7.6,1.1,2,0.558,0,0.3,0.167,1,1.7,0.622,0.57,0.5,0.9,0.526,0.6,1.1,1.7,0.1,0.2,0.3,0.2,0.8,2.7
2 seasons,NA,POR,NBA,,5,0,6.6,0.8,1.2,0.667,0,0.2,0,0.8,1,0.8,0.667,0.2,0.8,0.25,0.2,0.4,0.6,0.6,0.2,0,0.2,0.6,1.8
