Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Rick Barry,,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2,3.4,NA,NA,NA,NA,NA
Chet Walker,92.7,14.5,10.9,10.9,10.6,10.5,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7,NA,NA,NA,NA,NA,NA
Adrian Dantley,90.9,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8,7.4,5.7,4.3,3.1,0.1,NA,NA,NA,NA
Dominique Wilkins,90.2,12.2,11.4,11.1,10.8,10.5,10.4,9.8,8.4,7.6,7,5.8,5.1,3.9,3.4,0.3,NA,NA,NA,NA
Kevin McHale,88.7,14.8,11.1,11,11,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4,2.8,NA,NA,NA,NA,NA,NA
Bailey Howell,88.3,14,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6,5,3.1,NA,NA,NA,NA,NA,NA,NA
Paul Pierce,88.1,12.9,12.4,11.6,11.5,11.2,10.4,10.3,10.1,8.3,8.2,7.2,7.1,7,5.5,5.4,5.2,4.9,0.9,0.1
Elvin Hayes,87.4,12.5,12.1,10.6,9.6,9.4,8.5,8.3,8.1,7.8,7.6,7.3,6.2,5.1,5.1,2.4,0.2,NA,NA,NA
Dolph Schayes,87.4,14.8,13.7,13.1,12.8,12.5,12,11.8,10.3,9.5,9.4,8.5,8.5,3.1,2.4,-0.1,NA,NA,NA,NA
John Havlicek,87.0,12.5,12.4,12.1,10.6,9.7,9.7,8.3,7.7,7.6,7.4,7.3,6.4,6.1,5.1,4.5,4.3,NA,NA,NA
Larry Nance,87.0,12.2,10.7,10.5,10.3,10.2,9.8,9.8,8.4,8,7.9,6.5,2.8,2.4,NA,NA,NA,NA,NA,NA
