Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1974-75,22,POR,NBA,C,35,NA,1153,7,13.7,0.513,NA,NA,NA,7,13.7,0.513,3.7,5.4,0.686,3.7,13.9,17.5,6.6,1.2,3.7,NA,4.6,17.8,NA,NA,91
1975-76,23,POR,NBA,C,51,NA,1687,9.1,19.3,0.471,NA,NA,NA,9.1,19.3,0.471,3.5,6,0.583,3.5,14.5,18,5.8,1.3,2.2,NA,3.8,21.8,NA,NA,92
1976-77,24,POR,NBA,C,65,NA,2264,9.6,18.3,0.528,NA,NA,NA,9.6,18.3,0.528,4.5,6.4,0.697,4.1,14.2,18.3,4.8,1.3,4.1,NA,3.4,23.7,NA,NA,91
1977-78,25,POR,NBA,C,58,NA,1929,11,21.1,0.522,NA,NA,NA,11,21.1,0.522,4.2,5.9,0.72,2.8,15.5,18.3,7,1.4,3.5,4.9,3.5,26.2,NA,105,89
1979-80,27,SDC,NBA,C,14,NA,337,11.4,22.6,0.503,0,0,NA,11.4,22.6,0.503,4.5,7.6,0.593,3.9,13.8,17.7,4.8,1.1,5.3,5.2,5.2,27.3,NA,101,101
1982-83,30,SDC,NBA,C,33,32,1099,8.5,16.1,0.528,0,0,NA,8.5,16.1,0.528,2.8,5,0.556,3.2,10.5,13.7,5.1,1.4,5,4.5,4.8,19.7,NA,101,103
1983-84,31,SDC,NBA,C,55,46,1476,9.3,16.7,0.556,0,0.1,0,9.3,16.6,0.558,3,5,0.597,4.2,11.1,15.3,5.9,1.4,2.8,5.7,4.9,21.5,NA,102,107
1984-85,32,LAC,NBA,C,67,37,1647,7.8,14.9,0.521,0,0.1,0,7.8,14.8,0.523,4,5.9,0.68,4.9,12.5,17.3,4.5,1.4,4,5,5.3,19.5,NA,102,103
1985-86,33,BOS,NBA,C,80,2,1546,7.1,12.6,0.562,0,0,NA,7.1,12.6,0.562,4.4,6.2,0.713,4.2,12.5,16.7,5.1,1.2,3.3,4.6,6.4,18.6,NA,108,97
1986-87,34,BOS,NBA,C,10,0,112,4.3,11.3,0.385,0,0,NA,4.3,11.3,0.385,3.5,6.5,0.533,4.8,8.7,13.5,3.9,0.4,4.3,6.5,10,12.2,NA,79,104
Career,NA,,NBA,,468,117,13250,8.9,17.1,0.521,0,0,0,8.9,17.1,0.521,3.9,5.9,0.66,3.8,13.3,17.1,5.5,1.3,3.6,3,4.5,21.6,NA,103,96
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,POR,NBA,,209,NA,7033,9.5,18.5,0.51,NA,NA,NA,9.5,18.5,0.51,4.1,6,0.674,3.5,14.6,18.1,5.9,1.3,3.4,1.3,3.7,23,NA,105,91
4 seasons,NA,"SDC,LAC",NBA,,169,115,4559,8.7,16.3,0.532,0,0,0,8.7,16.3,0.534,3.4,5.5,0.619,4.2,11.6,15.8,5.1,1.4,4,5.1,5.1,20.8,NA,102,104
2 seasons,NA,BOS,NBA,,90,2,1658,6.9,12.5,0.551,0,0,NA,6.9,12.5,0.551,4.4,6.2,0.7,4.2,12.3,16.5,5,1.1,3.3,4.8,6.7,18.2,NA,106,98
