Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Larry Sanders,,6,1.6,1,1,0.7,0,NA
Phil Jordon,79.5,5.2,1.9,1.5,0.7,0.6,0,-0.2
Tod Murphy,76.9,6.1,1.4,0.4,0.1,0.1,NA,NA
Fabricio Oberto,72.2,6.1,4.1,1.7,1.1,0.6,0,NA
Melvin Turpin,72.0,6,3.1,2.1,1.8,0.8,NA,NA
Dean Garrett,69.4,6.2,2.9,2.2,1.9,1,-0.1,NA
Craig Raymond,68.0,4.7,1.7,1,0,0,NA,NA
Todd MacCulloch,67.2,5.6,2.5,2.2,1.7,NA,NA,NA
Ed Johnson,66.5,5.1,2.4,1,NA,NA,NA,NA
Jamie Feick,66.4,4.8,2.2,0.9,0.2,0.2,NA,NA
Kim Hughes,66.1,6.8,2.3,2.2,2.2,0.4,-0.1,NA
