Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Larry Sanders,,6,1.6,1,1,0.7,0
Tod Murphy,76.9,6.1,1.4,0.4,0.1,0.1,NA
Zaid Abdul-Aziz,74.9,6.5,2,1.9,1.8,1,-0.3
Phil Jordon,73.1,5.2,1.9,1.5,0.6,0,-0.2
Fabricio Oberto,72.2,6.1,4.1,1.7,1.1,0.6,0
Melvin Turpin,72.0,6,3.1,2.1,1.8,0.8,NA
Mark West,71.7,5.5,3.1,1.9,1.1,0.9,-0.1
Walt Wesley,70.3,4.1,1.7,1.2,1.2,0.7,-0.4
Jerome Whitehead,70.1,5.3,2.1,1.5,0.2,0.2,0.1
Adonal Foyle,69.4,4,1.9,1.2,1.1,0.7,-0.1
Dean Garrett,69.4,6.2,2.9,2.2,1.9,1,-0.1
