Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Darius Songaila,,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0
Rasual Butler,91.0,4.6,2.7,2.6,1.7,1.7,1.6,1.2,0.1
Francisco García,90.8,4.2,3,2.4,2.4,1.6,1.3,1,0.8
Scott Williams,87.8,3.9,3.1,2.6,2.3,1.7,1.7,0.9,0.3
Etan Thomas,86.2,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.1
Andrea Bargnani,86.0,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.1
Danny Vranes,85.6,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Ed Manning,85.5,4.3,2.2,2.2,1.7,1.5,1.4,1.4,-0.3
Chucky Brown,85.3,4.2,2.2,2.2,2.1,1.6,1.6,0.3,0
Omri Casspi,84.9,3.6,2.7,2.5,2.5,2.4,1.2,0.7,0.5
Corky Calhoun,84.2,3.1,2.5,2.3,2.2,2.1,1.3,1,0
