Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1950-51,24,INO,NBA,PF,63,NA,NA,3.5,9.8,0.357,1.3,2.1,0.632,4.9,1.2,3,8.3
1951-52,25,INO,NBA,PF,63,NA,29,3.8,9.6,0.397,2.7,3.5,0.753,7.6,1.7,3.3,10.3
1952-53,26,INO,NBA,PF,70,NA,33.2,3.2,8,0.402,2.4,3.5,0.694,7.5,1.9,3.9,8.8
1953-54,27,TOT,NBA,PF,68,NA,18.8,2,5.2,0.379,1.4,1.9,0.729,4.7,1.1,3.2,5.4
1953-54,27,MLH,NBA,PF,8,NA,15.6,2,4.5,0.444,1.1,2,0.563,3.8,1.3,2.4,5.1
1953-54,27,SYR,NBA,PF,60,NA,19.2,2,5.3,0.372,1.4,1.9,0.752,4.8,1.1,3.3,5.4
Career,NA,,NBA,,264,NA,27,3.1,8.1,0.384,1.9,2.8,0.707,6.2,1.5,3.4,8.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,INO,NBA,,196,NA,31.2,3.5,9.1,0.385,2.1,3.1,0.702,6.7,1.6,3.4,9.1
1 season,NA,SYR,NBA,,60,NA,19.2,2,5.3,0.372,1.4,1.9,0.752,4.8,1.1,3.3,5.4
1 season,NA,MLH,NBA,,8,NA,15.6,2,4.5,0.444,1.1,2,0.563,3.8,1.3,2.4,5.1
