Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Cherokee Parks,,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA
Manute Bol,91.6,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2
Carlos Rogers,85.3,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA
Marc Jackson,83.7,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA
Jim Krebs,83.5,4.2,2.8,1.5,1.3,1.3,1.2,0.1,NA,NA,NA
Cole Aldrich,80.1,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0,NA,NA
Michael Doleac,79.6,3,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0
Jim McIlvaine,77.9,3,1.9,1.8,1.5,0.8,0.3,0.1,NA,NA,NA
Francisco Elson,77.4,3.1,2.9,1.8,1.8,1.6,0.6,0,0,0,NA
Connie Dierking,77.3,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.3,0.1
Jake Voskuhl,77.2,3.3,2.7,2.5,1.7,1,0.6,0.2,0,-0.3,NA
