Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,BAL,NBA,PG,64,NA,14.3,1.2,3.8,0.309,NA,NA,NA,1.2,3.8,0.309,0.309,0.5,0.9,0.483,NA,NA,2.5,0.8,NA,2.4,2.8
1969-70,23,TOT,ABA,PG,77,NA,27.2,3.5,9,0.391,0.1,0.3,0.192,3.5,8.7,0.399,0.395,2,3.6,0.551,1.8,2.7,4.5,1.7,1.9,2.8,9.1
1969-70,23,INA,ABA,PG,9,NA,15.9,1.9,4.4,0.425,0,0.3,0,1.9,4.1,0.459,0.425,1.9,2.9,0.654,1.4,2.7,4.1,1.4,0.9,3.3,5.7
1969-70,23,PTP,ABA,PG,68,NA,28.6,3.8,9.6,0.389,0.1,0.3,0.217,3.7,9.3,0.396,0.393,2,3.7,0.54,1.9,2.7,4.6,1.8,2.1,2.7,9.6
Career,NA,,TOT,,141,NA,21.3,2.5,6.7,0.37,0.1,0.3,0.192,2.4,6.5,0.375,0.372,1.3,2.4,0.539,1.8,2.7,3.6,1.3,1.9,2.6,6.3
,NA,,ABA,,77,NA,27.2,3.5,9,0.391,0.1,0.3,0.192,3.5,8.7,0.399,0.395,2,3.6,0.551,1.8,2.7,4.5,1.7,1.9,2.8,9.1
,NA,,NBA,,64,NA,14.3,1.2,3.8,0.309,NA,NA,NA,1.2,3.8,0.309,0.309,0.5,0.9,0.483,NA,NA,2.5,0.8,NA,2.4,2.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PTP,ABA,,68,NA,28.6,3.8,9.6,0.389,0.1,0.3,0.217,3.7,9.3,0.396,0.393,2,3.7,0.54,1.9,2.7,4.6,1.8,2.1,2.7,9.6
1 season,NA,BAL,NBA,,64,NA,14.3,1.2,3.8,0.309,NA,NA,NA,1.2,3.8,0.309,0.309,0.5,0.9,0.483,NA,NA,2.5,0.8,NA,2.4,2.8
1 season,NA,INA,ABA,,9,NA,15.9,1.9,4.4,0.425,0,0.3,0,1.9,4.1,0.459,0.425,1.9,2.9,0.654,1.4,2.7,4.1,1.4,0.9,3.3,5.7
