Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Elvin Hayes,,12.5,12.1,10.6,9.6,9.4,8.5,8.3,8.1,7.8,7.6,7.3,6.2,5.1,5.1,2.4,0.2,NA,NA
John Havlicek,92.9,12.5,12.4,12.1,10.6,9.7,9.7,8.3,7.7,7.6,7.4,7.3,6.4,6.1,5.1,4.5,4.3,NA,NA
Detlef Schrempf,91.0,12.9,10.4,10.4,9.8,9,8.4,8.2,8.1,8,5.8,5.2,4.4,4,3.6,0.8,0.5,NA,NA
Horace Grant,90.6,14.1,10.3,10,9.5,9.1,8,8,7.7,7.1,6.5,6.4,5.6,5.2,4.2,4.1,2,0.2,NA
LaMarcus Aldridge,90.5,11.1,10.9,10.1,9.5,9.3,8.8,8.6,7.5,7.2,7.2,7,6.2,3.4,NA,NA,NA,NA,NA
Dominique Wilkins,89.1,12.2,11.4,11.1,10.8,10.5,10.4,9.8,8.4,7.6,7,5.8,5.1,3.9,3.4,0.3,NA,NA,NA
Rick Barry,87.4,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2,3.4,NA,NA,NA,NA
Pau Gasol,87.1,14.7,13.9,12,11,10.4,8.5,8.4,8.3,8.1,7.6,7.1,6.9,6.8,6.4,6,3.7,3,1.1
Larry Nance,86.9,12.2,10.7,10.5,10.3,10.2,9.8,9.8,8.4,8,7.9,6.5,2.8,2.4,NA,NA,NA,NA,NA
Buck Williams,86.9,11.4,9.2,8.9,8.7,8.5,7.9,7.9,7.7,7.6,7.3,6.8,6.1,6.1,5.2,4.8,3.9,2.1,NA
Chris Bosh,86.7,10.3,10.1,9.8,9.7,9.6,9.6,9,8,6.9,6.8,6.4,6.2,3.6,NA,NA,NA,NA,NA
