Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Sam Cassell,,12.1,9.6,9.2,8.6,8.5,8.3,7.6,4.7,3.9,3.9,3.8,2.8,2.2,1.8,0.8
Steve Smith,90.3,10.4,10.2,9.1,8.2,8.1,7.9,7.8,6.4,4.4,3.5,2.5,1.9,1.8,1.5,NA
Hersey Hawkins,89.6,10.9,9.8,9.5,8.7,8.6,8.5,8,7.8,6.5,4,3.5,2.6,2.3,NA,NA
Jason Terry,87.9,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4,3.8,1.9,0.2
Stephon Marbury,87.7,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1,-0.3,NA,NA
Walter Davis,87.2,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.6,3.5,2.7,2,1.5,0.6
Derek Harper,87.1,9.9,9.4,9.1,8,7.6,6.4,6.3,6.2,5.4,4,3.5,2.7,2.7,2.3,1.3
Joe Dumars,86.7,9.9,9.1,8.8,8.7,8.2,7,6,5.9,5.9,4.4,4.2,3.2,3.2,1.7,NA
Lenny Wilkens,86.7,10.1,9.6,9.5,9,8.1,7.6,7.6,6.5,5.7,5,4.9,4.9,4,2.7,0.4
Sam Jones,86.6,12.8,10,9.6,9.6,8.9,8.1,7.7,7.5,5.9,5.3,4.9,2.1,NA,NA,NA
Isiah Thomas,86.3,11.2,9.1,8.8,7.6,7.6,7.4,7,6.7,5.8,3.7,3.4,2.3,0.2,NA,NA
