,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,31,MIL,NBA,PG,76,2709,.474,13.2,.913,.140,.103,.413,.258,.087,.490,.601,.385,.471,.503,.306,.333,.000,0,.833,.316,.387,1,0
2001-02,32,MIL,NBA,PG,74,2605,.463,15.4,.830,.097,.069,.363,.301,.170,.486,.578,.410,.495,.464,.348,.377,.000,0,.662,.216,.455,3,0
2002-03,33,MIL,NBA,PG,78,2700,.470,14.1,.860,.131,.114,.352,.262,.140,.487,.605,.496,.479,.436,.362,.351,.000,0,.847,.227,.432,3,0
2003-04,34,MIN,NBA,PG,81,2838,.488,15.2,.854,.103,.089,.284,.377,.146,.504,.618,.575,.501,.457,.398,.251,.000,0,.838,.183,.412,2,0
2004-05,35,MIN,NBA,PG,59,1522,.464,16.9,.850,.086,.049,.227,.488,.150,.500,.661,.588,.436,.493,.262,.318,.000,0,.815,.155,.563,5,0
2005-06,36,LAC,NBA,PG,78,2653,.443,16.1,.829,.078,.083,.284,.384,.171,.459,.598,.413,.519,.396,.368,.281,.000,0,.729,.095,.333,4,0
2006-07,37,LAC,NBA,PG,58,1407,.418,15.1,.826,.115,.101,.258,.352,.174,.444,.569,.460,.453,.391,.294,.262,.000,0,.844,.083,.333,0,0
2007-08,38,TOT,NBA,PG,55,1274,.438,16.1,.857,.094,.075,.271,.417,.143,.461,.500,.475,.431,.468,.303,.305,.000,0,.870,.092,.714,3,0
2007-08,38,LAC,NBA,PG,38,975,.455,15.4,.866,.109,.085,.291,.381,.134,.486,.568,.529,.462,.471,.259,.284,.000,0,.857,.074,.500,2,0
2007-08,38,BOS,NBA,PG,17,299,.385,18.1,.831,.046,.046,.208,.531,.169,.380,.000,.167,.296,.464,.409,.390,.000,0,.889,.136,1.000,1,0
Career,,,NBA,,559,17708,.462,15.1,.854,.107,.087,.317,.342,.146,.482,.596,.468,.482,.451,.342,.313,.000,0,.788,.174,.434,21,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,228,8014,.469,14.2,.867,.122,.095,.375,.274,.133,.488,.596,.435,.482,.467,.344,.353,.000,0,.763,.241,.429,7,0
3 seasons,,LAC,NBA,,174,5035,.438,15.7,.835,.095,.088,.278,.374,.165,.460,.581,.450,.490,.409,.329,.276,.000,0,.776,.088,.355,6,0
2 seasons,,MIN,NBA,,140,4360,.480,15.8,.852,.097,.075,.264,.416,.148,.502,.632,.578,.482,.472,.349,.274,.000,0,.832,.173,.460,7,0
1 season,,BOS,NBA,,17,299,.385,18.1,.831,.046,.046,.208,.531,.169,.380,.000,.167,.296,.464,.409,.390,.000,0,.889,.136,1.000,1,0
