Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,23,TOT,NBA,PG,62,NA,15.3,1.6,4.7,0.346,1,1.3,0.756,2.5,1.4,1,4.2
1954-55,23,PHW,NBA,PG,6,NA,10.8,0.5,2.5,0.2,0.8,1,0.833,1.7,1.8,0.7,1.8
1954-55,23,NYK,NBA,PG,56,NA,15.8,1.7,4.9,0.354,1,1.3,0.75,2.6,1.4,1.1,4.4
1955-56,24,NYK,NBA,PG,72,NA,24.3,3.3,8.7,0.384,2.5,3.3,0.764,2.9,2.5,1.5,9.2
1956-57,25,FTW,NBA,PG,72,NA,34.3,3.8,9.9,0.385,3.3,4.4,0.763,5.8,3.3,1.9,10.9
1957-58,26,DET,NBA,SG,63,NA,37,5.6,14.6,0.384,4.4,5.2,0.844,5.3,2.7,2.4,15.6
1958-59,27,DET,NBA,PG,72,NA,38.1,6.4,16.6,0.388,4.7,5.8,0.803,4.7,3.2,1.8,17.6
1959-60,28,DET,NBA,PG,75,NA,44.5,8.3,20,0.413,6.3,7.2,0.872,5.5,3.9,1.9,22.8
1960-61,29,DET,NBA,PG,78,NA,43.1,8.3,19.8,0.421,6,7,0.856,4.3,6.8,2.7,22.6
1961-62,30,DET,NBA,PG,80,NA,39.3,7.3,17.8,0.408,4.5,5.6,0.81,4.7,5.8,2.4,19
1962-63,31,NYK,NBA,PG,78,NA,29.3,4.5,11.5,0.396,2.7,3.9,0.689,2.4,3.3,2.2,11.7
1963-64,32,BAL,NBA,PG,47,NA,20.5,1.7,5.9,0.293,0.8,1.3,0.59,2,3.2,2.1,4.2
Career,NA,,NBA,,699,NA,33.4,5.3,13.4,0.396,3.8,4.7,0.806,4.1,3.7,2,14.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,"FTW,DET",NBA,,440,NA,39.5,6.7,16.6,0.403,4.9,5.9,0.83,5,4.4,2.2,18.3
3 seasons,NA,NYK,NBA,,206,NA,23.9,3.4,8.7,0.385,2.2,3,0.725,2.7,2.5,1.7,8.9
1 season,NA,BAL,NBA,,47,NA,20.5,1.7,5.9,0.293,0.8,1.3,0.59,2,3.2,2.1,4.2
1 season,NA,PHW,NBA,,6,NA,10.8,0.5,2.5,0.2,0.8,1,0.833,1.7,1.8,0.7,1.8
