Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1979-80,20,LAL,NBA,SG,77,NA,2795,8.3,15.7,0.53,0.1,0.5,0.226,8.2,15.1,0.54,6.2,7.6,0.81,2.7,7.1,9.8,9.3,3.1,0.7,5,3.6,22.9,NA,113,101
1980-81,21,LAL,NBA,SG,37,NA,1371,10.6,20,0.532,0.1,0.6,0.176,10.5,19.4,0.542,5.8,7.7,0.76,3.4,7.5,10.9,10.8,4.3,0.9,4.9,3.4,27.2,NA,115,98
1981-82,22,LAL,NBA,SG,78,77,2991,8.7,16.1,0.537,0.1,0.5,0.207,8.6,15.7,0.546,5.1,6.7,0.76,3.9,7.8,11.7,11.6,3.2,0.5,4.5,3.5,22.5,NA,118,102
1982-83,23,LAL,NBA,SG,79,79,2907,8.1,14.8,0.548,0,0.3,0,8.1,14.5,0.56,4.8,6,0.8,3.4,7.5,10.9,13.2,2.8,0.7,4.8,3.2,21.1,NA,119,103
1983-84,24,LAL,NBA,PG,67,66,2567,8,14.1,0.565,0.1,0.5,0.207,7.8,13.5,0.579,5.2,6.5,0.81,1.8,7.1,8.9,15.8,2.7,0.9,5.5,3,21.2,NA,118,105
1984-85,25,LAL,NBA,PG,77,77,2781,8.4,15,0.561,0.1,0.6,0.189,8.3,14.4,0.577,6.5,7.8,0.843,1.5,6.5,8,16.2,1.9,0.4,5.1,2.6,23.5,NA,123,107
1985-86,26,LAL,NBA,PG,72,70,2578,8.8,16.6,0.526,0.2,0.8,0.233,8.6,15.9,0.541,6.9,7.9,0.871,1.5,6.2,7.7,16.4,2,0.3,4.9,2.4,24.5,NA,122,106
1986-87,27,LAL,NBA,PG,80,80,2904,11.1,21.3,0.522,0.1,0.6,0.205,11,20.6,0.532,8.7,10.3,0.848,2,6.2,8.2,15.9,2.2,0.6,4.9,2.7,31.1,NA,124,106
1987-88,28,LAL,NBA,PG,72,70,2637,9,18.3,0.492,0.2,1,0.196,8.8,17.3,0.51,7.7,9,0.853,1.6,6.6,8.2,15.8,2.1,0.2,4.9,2.7,25.9,NA,118,107
1988-89,29,LAL,NBA,PG,77,77,2886,9.6,18.9,0.509,1,3.1,0.314,8.6,15.8,0.548,8.5,9.4,0.911,1.8,8.2,10.1,16.4,2.3,0.4,5.2,2.9,28.7,NA,125,105
1989-90,30,LAL,NBA,PG,79,79,2937,9.3,19.3,0.48,1.8,4.7,0.384,7.5,14.6,0.51,9.6,10.8,0.89,2.2,6.7,8.9,15.4,2.2,0.6,4.9,2.8,30,NA,126,106
1990-91,31,LAL,NBA,PG,79,79,2933,8.1,17,0.477,1.4,4.3,0.32,6.7,12.6,0.532,9,10,0.906,1.8,7.8,9.6,17.2,1.8,0.3,5.5,2.6,26.6,NA,124,105
1995-96,36,LAL,NBA,PF,32,9,958,7.4,15.9,0.466,1.2,3.1,0.379,6.2,12.8,0.487,9.3,10.9,0.856,2.2,7.8,9.9,11.9,1.4,0.7,5.6,2.6,25.4,NA,117,107
Career,NA,,NBA,,906,763,33245,8.9,17.1,0.52,0.5,1.5,0.303,8.4,15.6,0.541,7.1,8.4,0.848,2.3,7.1,9.4,14.5,2.5,0.5,5,2.9,25.4,NA,121,104
