Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,22,MIN,NBA,C,2,0,30,3.6,14.4,0.25,0,0,NA,3.6,14.4,0.25,2.4,2.4,1,3.6,6,9.6,1.2,0,0,1.2,6,9.6
1999-00,23,MIN,NBA,C,82,55,1723,4.3,9,0.476,0,0,0,4.3,9,0.478,1.2,2.2,0.573,2.8,5.1,7.9,1.9,0.4,1.8,1.5,5.5,9.8
2000-01,24,MIN,NBA,C,73,39,1233,4.3,9.3,0.461,0,0,0,4.3,9.3,0.462,1,1.9,0.523,2.9,5.5,8.4,1.3,0.7,1.8,1.6,5.5,9.6
2001-02,25,MIN,NBA,C,82,82,2218,5.3,10.7,0.493,0,0,0,5.3,10.6,0.494,0.6,1.2,0.549,3.2,5.4,8.7,1.2,0.7,1.8,1.5,4.3,11.2
2002-03,26,MIN,NBA,C,77,77,2337,6.2,11.7,0.525,0,0,0,6.2,11.7,0.526,0.9,1.5,0.642,2.2,5.5,7.8,1.8,0.6,1.8,1.5,3.9,13.3
2003-04,27,SAS,NBA,C,82,82,2353,5,10.7,0.469,0,0,NA,5,10.7,0.469,0.8,1.7,0.474,3.9,5.8,9.7,1.7,0.8,2.5,1.6,3.8,10.9
2004-05,28,SAS,NBA,C,70,70,1785,4,8.7,0.46,0,0,NA,4,8.7,0.46,0.3,0.6,0.467,3.7,5.5,9.3,1.4,0.6,2.4,1.5,4.2,8.3
2005-06,29,SAS,NBA,C,80,51,1515,4.1,7.9,0.515,0,0,0,4.1,7.9,0.518,0.4,0.7,0.6,2.7,4.6,7.3,0.8,0.5,2.1,1.3,5,8.6
2006-07,30,TOR,NBA,C,80,73,1676,4.9,9,0.546,0,0,0,4.9,9,0.548,0.7,1.1,0.68,2.5,5.3,7.7,1.6,0.8,1.8,1.2,4.1,10.6
2007-08,31,TOR,NBA,C,71,39,1486,6.2,11.3,0.55,0,0.1,0.333,6.2,11.2,0.552,0.9,1.2,0.755,3.1,5.1,8.3,2,0.5,1.3,1.5,3.2,13.4
2008-09,32,IND,NBA,C,70,19,1214,6.6,13,0.513,0,0,0,6.6,12.9,0.514,0.7,0.9,0.781,2.8,4.4,7.1,3.2,0.9,1.1,1.9,5.1,14
2009-10,33,TOR,NBA,C,42,8,413,7.1,13,0.544,0,0,NA,7.1,13,0.544,0.1,0.4,0.2,3.2,4.5,7.8,2.2,0.9,1.5,1.4,4.7,14.2
Career,NA,,NBA,,811,595,17983,5.1,10.3,0.502,0,0,0.077,5.1,10.2,0.503,0.8,1.3,0.585,3,5.3,8.3,1.7,0.7,1.9,1.5,4.4,11
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,MIN,NBA,,316,253,7541,5.2,10.4,0.495,0,0,0,5.2,10.4,0.496,0.9,1.6,0.58,2.8,5.4,8.2,1.6,0.6,1.8,1.5,4.6,11.2
3 seasons,NA,SAS,NBA,,232,203,5653,4.4,9.3,0.477,0,0,0,4.4,9.3,0.477,0.5,1.1,0.494,3.5,5.4,8.9,1.4,0.7,2.4,1.5,4.2,9.4
3 seasons,NA,TOR,NBA,,193,120,3575,5.7,10.4,0.548,0,0,0.25,5.7,10.4,0.549,0.7,1,0.692,2.8,5.1,8,1.8,0.7,1.5,1.3,3.8,12.2
1 season,NA,IND,NBA,,70,19,1214,6.6,13,0.513,0,0,0,6.6,12.9,0.514,0.7,0.9,0.781,2.8,4.4,7.1,3.2,0.9,1.1,1.9,5.1,14
