Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2009-10,24,IND,NBA,PF,29,511,14.6,0.448,0.018,0.502,12.7,16.8,14.7,9,1.6,1.1,7.1,25.5,NA,0.1,0.6,0.7,0.07,NA,-2.2,-1.2,-3.3,-0.2
2010-11,25,IND,NBA,PF,70,1535,16.4,0.529,0.003,0.413,10.6,15.9,13.2,4.7,1.2,0.7,9.5,23.1,NA,2.2,1.6,3.8,0.118,NA,-0.6,-1.3,-1.9,0
2011-12,26,IND,NBA,PF,66,1442,14.7,0.511,0.002,0.58,8.9,13.7,11.3,3.5,2,0.5,9.8,20.9,NA,2.2,1.7,3.9,0.129,NA,-1.1,-0.7,-1.8,0.1
2012-13,27,IND,NBA,PF,81,1366,15.3,0.527,0.007,0.737,13.4,17,15.2,4.4,1.1,1,12.6,20.6,NA,2.1,2.2,4.4,0.154,NA,-1.3,-0.7,-1.9,0
2013-14,28,TOR,NBA,PF,64,978,14.2,0.562,0.01,0.944,14.2,20,17.1,2.7,1.5,1.6,14.5,15.1,NA,1.7,1.4,3,0.149,NA,-1.3,-0.6,-1.9,0
2014-15,29,TOR,NBA,PF,74,1058,13.3,0.597,0.042,0.842,11.6,17.3,14.4,2.8,1.5,1.1,8.1,10.5,NA,2.6,0.9,3.4,0.156,NA,-0.7,-0.6,-1.3,0.2
2015-16,30,CHO,NBA,PF,44,343,12.5,0.522,0.042,0.915,12.6,15.8,14.2,3.5,1.8,1.7,10.8,14.7,NA,0.5,0.5,1,0.134,NA,-3.5,-0.3,-3.8,-0.1
Career,NA,,NBA,,428,7233,14.8,0.525,0.01,0.618,11.7,16.5,14.1,4.1,1.5,1,10.4,19,NA,11.4,8.8,20.2,0.134,NA,-1.2,-0.8,-2,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,IND,NBA,,246,4854,15.4,0.513,0.006,0.548,11.1,15.6,13.4,4.7,1.5,0.8,10.1,22,NA,6.6,6.1,12.8,0.126,NA,-1.1,-0.9,-2,-0.1
2 seasons,NA,TOR,NBA,,138,2036,13.7,0.578,0.025,0.898,12.8,18.6,15.7,2.7,1.5,1.3,11.7,12.7,NA,4.3,2.2,6.5,0.153,NA,-1,-0.6,-1.6,0.2
1 season,NA,CHO,NBA,,44,343,12.5,0.522,0.042,0.915,12.6,15.8,14.2,3.5,1.8,1.7,10.8,14.7,NA,0.5,0.5,1,0.134,NA,-3.5,-0.3,-3.8,-0.1
