Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Alvin Williams,,5.5,5.4,5.2,2.1,1.3,1.2,1,-0.1,-0.1
Phil Ford,84.5,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA
Patty Mills,83.6,5.6,5.1,4.8,4.1,1.5,1.4,0.9,0.7,0
Bob Warren,81.0,4.9,4.8,4,2.3,1.6,1.6,0.9,0.6,NA
Anthony Parker,80.9,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0
Bob Sura,78.5,5.2,4.9,4.6,4.1,1.8,1.6,0.7,0.4,0.1
Ron Williams,78.4,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA
Bobby Simmons,78.1,6.8,5.3,3.4,2,0.9,0.7,0.7,0.1,0
Martell Webster,78.0,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0
Lewis Lloyd,77.3,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA
Isaiah Rider,76.8,5.8,5,3.4,2.5,1.9,1.7,1.6,0.8,0.2
