,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2004-05,21,PHI,NBA,SG,82,2686,.493,10.3,.740,.462,.086,.077,.115,.260,.550,.698,.234,.333,.333,.331,.662,.244,122,.957,.507,.306,1,0
2005-06,22,PHI,NBA,SF,82,3086,.500,9.5,.770,.480,.113,.080,.097,.230,.543,.645,.372,.364,.388,.354,.622,.206,129,.929,.570,.411,3,0
2006-07,23,PHI,NBA,SG,76,3062,.447,11.9,.844,.367,.054,.107,.315,.156,.472,.640,.259,.302,.372,.310,.468,.126,120,.792,.245,.263,2,0
2007-08,24,PHI,NBA,SF,82,3242,.456,14.1,.760,.280,.059,.106,.316,.240,.496,.689,.387,.289,.414,.329,.466,.114,141,.772,.290,.326,9,1
2008-09,25,PHI,NBA,SF,82,3269,.473,13.0,.772,.354,.053,.075,.290,.228,.521,.727,.279,.291,.375,.307,.491,.137,153,.650,.172,.289,5,1
2009-10,26,PHI,NBA,SF,82,3193,.443,14.5,.729,.276,.054,.116,.284,.271,.492,.683,.367,.308,.406,.310,.415,.112,122,.809,.165,.300,7,0
2010-11,27,PHI,NBA,SF,67,2469,.445,14.4,.762,.257,.078,.119,.308,.238,.479,.744,.254,.356,.363,.337,.448,.140,102,.836,.232,.476,4,0
2011-12,28,PHI,NBA,SF,62,2209,.454,15.5,.695,.229,.074,.084,.307,.305,.481,.752,.362,.434,.320,.394,.412,.111,70,.750,.187,.472,2,0
2012-13,29,DEN,NBA,SG,80,2779,.451,13.9,.673,.307,.093,.102,.171,.327,.515,.752,.329,.278,.333,.317,.541,.159,134,.802,.348,.260,4,0
2013-14,30,GSW,NBA,SF,63,2040,.480,14.2,.618,.301,.100,.087,.129,.382,.558,.725,.348,.425,.424,.354,.506,.131,58,.887,.394,.391,1,0
2014-15,31,GSW,NBA,SF,77,2069,.466,15.2,.573,.290,.071,.079,.133,.427,.553,.750,.286,.359,.379,.349,.643,.141,64,.905,.377,.325,6,0
2015-16,32,GSW,NBA,SF,65,1732,.478,14.5,.582,.310,.063,.073,.136,.418,.570,.728,.348,.407,.400,.351,.631,.141,49,.944,.377,.431,3,0
2016-17,33,GSW,NBA,SF,76,1998,.528,14.1,.573,.361,.043,.034,.133,.427,.651,.767,.333,.286,.545,.362,.703,.195,76,.922,.441,.372,2,0
2017-18,34,GSW,NBA,SF,64,1622,.463,13.7,.634,.313,.113,.081,.128,.366,.567,.760,.389,.385,.366,.282,.591,.166,52,.848,.179,.143,3,0
2018-19,35,GSW,NBA,SF,68,1578,.500,14.9,.523,.344,.050,.056,.073,.477,.652,.856,.200,.294,.273,.333,.757,.228,69,.958,.410,.407,1,0
2019-20,36,MIA,NBA,SG,14,259,.490,16.0,.529,.275,.078,.059,.118,.471,.593,.786,.250,.000,.667,.375,.750,.118,6,.889,.458,.364,1,0
Career,,,NBA,,1122,37293,.466,13.5,.714,.325,.071,.091,.227,.286,.519,.711,.323,.326,.382,.334,.525,.147,1467,.838,.314,.349,54,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,PHI,NBA,,615,23216,.461,13.1,.763,.329,.067,.097,.269,.237,.501,.690,.320,.323,.380,.331,.489,.140,959,.798,.272,.353,33,2
6 seasons,,GSW,NBA,,413,11039,.485,14.5,.585,.318,.073,.069,.124,.415,.587,.761,.329,.374,.413,.342,.633,.163,368,.913,.373,.367,16,0
1 season,,DEN,NBA,,80,2779,.451,13.9,.673,.307,.093,.102,.171,.327,.515,.752,.329,.278,.333,.317,.541,.159,134,.802,.348,.260,4,0
1 season,,MIA,NBA,,14,259,.490,16.0,.529,.275,.078,.059,.118,.471,.593,.786,.250,.000,.667,.375,.750,.118,6,.889,.458,.364,1,0
