Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,PHI,NBA,SG,82,82,32.8,3.3,6.7,0.493,0.6,1.7,0.331,2.7,4.9,0.55,0.536,1.9,2.6,0.743,1.1,4.6,5.7,3,1.7,0.6,1.7,2.5,9
2005-06,22,PHI,NBA,SF,82,82,37.6,4.2,8.4,0.5,0.7,1.9,0.354,3.5,6.5,0.543,0.541,3.2,4.3,0.754,1.4,4.4,5.9,3.1,1.6,0.3,1.9,2.4,12.3
2006-07,23,PHI,NBA,SG,76,76,40.3,5.8,13,0.447,0.6,2,0.31,5.2,11,0.472,0.471,5.9,7.3,0.82,1,4.7,5.7,5.7,2,0.4,3.4,2.6,18.2
2007-08,24,PHI,NBA,SF,82,82,39.5,7.1,15.6,0.456,1.2,3.7,0.329,5.9,11.8,0.496,0.495,4.5,6.2,0.721,1,4.4,5.4,4.8,2.1,0.6,2.6,2.3,19.9
2008-09,25,PHI,NBA,SF,82,82,39.9,6.6,14,0.473,1,3.2,0.307,5.6,10.8,0.521,0.507,4.6,6.4,0.724,1.1,4.6,5.7,5.3,1.6,0.4,2.7,1.9,18.8
2009-10,26,PHI,NBA,SF,82,82,38.9,6,13.7,0.443,1.1,3.7,0.31,4.9,10,0.492,0.485,3.8,5.2,0.733,1,5.5,6.5,5.8,1.7,0.7,2.7,1.8,17.1
2010-11,27,PHI,NBA,SF,67,67,36.9,5,11.3,0.445,0.9,2.7,0.337,4.1,8.6,0.479,0.486,3.1,4.5,0.693,0.9,4.9,5.8,6.3,1.5,0.6,2.1,1.6,14.1
2011-12,28,PHI,NBA,SF,62,62,35.6,4.6,10.2,0.454,1.2,3.1,0.394,3.4,7.1,0.481,0.514,2,3.2,0.617,0.9,5.2,6.1,5.5,1.7,0.5,1.9,1.5,12.4
2012-13,29,DEN,NBA,SG,80,80,34.7,5,11,0.451,1.1,3.6,0.317,3.8,7.4,0.515,0.502,1.9,3.4,0.574,1,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13
2013-14,30,GSW,NBA,SF,63,63,32.4,3.5,7.3,0.48,1,2.8,0.354,2.5,4.5,0.558,0.548,1.4,2.1,0.652,0.8,3.8,4.7,4.2,1.5,0.3,1.6,1.6,9.3
2014-15,31,GSW,NBA,SF,77,0,26.9,3,6.4,0.466,1,2.8,0.349,2,3.7,0.553,0.54,0.9,1.5,0.596,0.6,2.8,3.3,3,1.2,0.3,1.1,1.3,7.8
2015-16,32,GSW,NBA,SF,65,1,26.6,2.7,5.7,0.478,0.8,2.4,0.351,1.9,3.3,0.57,0.552,0.8,1.3,0.614,0.8,3.2,4,3.4,1.1,0.3,1.2,1.6,7
2016-17,33,GSW,NBA,SF,76,0,26.3,2.9,5.5,0.528,0.8,2.3,0.362,2,3.1,0.651,0.605,0.9,1.3,0.706,0.7,3.3,4,3.4,1,0.5,0.8,1.3,7.6
2017-18,34,GSW,NBA,SF,64,7,25.3,2.3,5,0.463,0.5,1.8,0.282,1.8,3.2,0.567,0.514,0.9,1.4,0.632,0.8,3.1,3.8,3.3,0.8,0.6,1,1.5,6
2018-19,35,GSW,NBA,SF,68,13,23.2,2.2,4.4,0.5,0.7,2.1,0.333,1.5,2.3,0.652,0.579,0.6,1,0.582,0.7,3,3.7,3.2,0.9,0.8,0.8,1.4,5.7
2019-20,36,MIA,NBA,SG,14,0,18.5,1.8,3.6,0.49,0.6,1.7,0.375,1.1,1.9,0.593,0.578,0.1,0.6,0.25,0.7,3.1,3.8,2,0.6,1.1,1.2,2,4.4
Career,NA,,NBA,,1122,779,33.2,4.3,9.3,0.466,0.9,2.7,0.334,3.4,6.6,0.519,0.514,2.5,3.5,0.709,0.9,4.1,5.1,4.3,1.5,0.5,1.9,1.8,12
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,PHI,NBA,,615,615,37.7,5.4,11.6,0.461,0.9,2.8,0.331,4.5,8.9,0.501,0.5,3.7,5,0.737,1.1,4.8,5.8,4.9,1.7,0.5,2.4,2.1,15.3
6 seasons,NA,GSW,NBA,,413,84,26.7,2.8,5.7,0.485,0.8,2.4,0.342,2,3.3,0.587,0.556,0.9,1.4,0.634,0.7,3.2,3.9,3.4,1.1,0.5,1.1,1.4,7.3
1 season,NA,DEN,NBA,,80,80,34.7,5,11,0.451,1.1,3.6,0.317,3.8,7.4,0.515,0.502,1.9,3.4,0.574,1,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13
1 season,NA,MIA,NBA,,14,0,18.5,1.8,3.6,0.49,0.6,1.7,0.375,1.1,1.9,0.593,0.578,0.1,0.6,0.25,0.7,3.1,3.8,2,0.6,1.1,1.2,2,4.4
