Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Mickaël Gelabale,,1.5,1.3,0.2
Joel Freeland,94.9,1.6,1.4,0.2
Jeff Grayer,92.9,1.5,1.5,0.2
Jerry Chambers,90.4,1.5,1.4,0
Skal Labissière,90.2,1.4,1.3,0.3
Tony Brown,89.5,1.8,1.3,0.2
Andy Johnson,89.3,1.8,1.3,0.3
Hilton Armstrong,88.2,1.5,1.2,0.5
Donyell Marshall,85.9,1.3,1.3,0.3
Rudy Macklin,85.8,1.8,1.4,0.1
Rory White,85.3,1.5,1,0.4
