Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
John Drew,,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3,0.7
Shareef Abdur-Rahim,93.8,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8
David Lee,93.1,10.3,9.1,9,7.6,7.4,6.9,6,5,3.2,3,2.7
Larry Johnson,92.7,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,NA
Lamar Odom,92.2,9.7,9.2,8.4,7.7,6.9,6.5,4.7,4.7,3.2,2.2,0.7
Clifford Robinson,92.2,9.6,8.7,8,7.5,7.1,6.8,6.6,5.3,4.6,4.2,0.3
Jamaal Wilkes,92.1,10,8.5,8.3,7.7,7.4,7.3,6.9,6,5.1,3.3,0.9
Happy Hairston,91.8,9.3,9.2,8.8,7.2,7,7,6.5,5.3,5.1,4.2,0.4
Mark Aguirre,91.6,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,2.2,1.9
Hot Rod Williams,90.7,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,2.8,2.4
Bernard King,89.9,12.1,9.1,8.7,7.5,7.1,6.5,5.9,4.9,2.8,0.4,0
