Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,28,TOT,NBA,C,64,NA,NA,3.8,10.1,0.373,5.3,7.2,0.737,NA,1.4,3.8,12.9
1949-50,28,TRI,NBA,C,46,NA,NA,3.6,9.8,0.366,4.9,6.8,0.717,NA,1.6,3.9,12.1
1949-50,28,WSC,NBA,C,18,NA,NA,4.3,10.9,0.391,6.4,8.2,0.777,NA,1,3.7,14.9
1950-51,29,TOT,NBA,C,67,NA,NA,2.4,7.1,0.338,3.7,4.6,0.799,6,0.9,3.8,8.5
1950-51,29,WSC,NBA,C,16,NA,NA,2.3,7.9,0.291,4.6,5.8,0.796,6.6,1.4,3.8,9.3
1950-51,29,BLB,NBA,C,2,NA,NA,1.5,7.5,0.2,2.5,4.5,0.556,1.5,1.5,2.5,5.5
1950-51,29,FTW,NBA,C,49,NA,NA,2.5,6.9,0.362,3.4,4.2,0.811,6,0.8,3.9,8.4
1951-52,30,TOT,NBA,C,64,NA,28,3.5,9.9,0.349,5,6.5,0.773,6.8,1.9,3.4,12
1951-52,30,FTW,NBA,C,7,NA,9,0.7,2.9,0.25,2,2.3,0.875,2.9,0.7,2.7,3.4
1951-52,30,MLH,NBA,C,57,NA,30.3,3.8,10.8,0.352,5.4,7.1,0.769,7.3,2.1,3.5,13
1952-53,31,MLH,NBA,C,24,NA,16,1.4,3.6,0.391,2.7,3.8,0.703,3.7,0.9,2.8,5.5
Career,NA,,NBA,,219,NA,24.7,3,8.4,0.357,4.4,5.8,0.761,6,1.4,3.6,10.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"TRI,MLH",NBA,,127,NA,26,3.3,9.1,0.36,4.7,6.4,0.741,6.2,1.7,3.5,11.3
2 seasons,NA,FTW,NBA,,56,NA,9,2.3,6.4,0.356,3.2,4,0.815,5.6,0.8,3.7,7.8
2 seasons,NA,WSC,NBA,,34,NA,NA,3.4,9.5,0.352,5.6,7.1,0.784,6.6,1.2,3.7,12.3
1 season,NA,BLB,NBA,,2,NA,NA,1.5,7.5,0.2,2.5,4.5,0.556,1.5,1.5,2.5,5.5
