Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,28,NJA,ABA,SF,78,NA,32.3,5.6,12.2,0.453,0,0.2,0.067,5.5,12.1,0.46,0.454,2.2,3.4,0.635,NA,NA,6.7,2.7,NA,NA,2.2,3.5,13.3
1968-69,29,NYA,ABA,SF,68,NA,40.4,8.4,19.1,0.44,0.1,0.4,0.222,8.3,18.7,0.444,0.442,4.3,6.1,0.695,2.7,5.5,8.1,3.4,NA,NA,2.7,4.3,21.1
1969-70,30,NYA,ABA,SF,81,NA,33.3,5.6,12.7,0.441,0,0.2,0.05,5.6,12.5,0.449,0.441,3.1,4.2,0.749,1.9,4,5.9,3.6,NA,NA,2.4,3.7,14.3
1970-71,31,KEN,ABA,SF,84,NA,16.8,3.3,6.9,0.474,0,0.1,0.091,3.3,6.8,0.481,0.475,1.2,1.9,0.641,1.2,2.5,3.8,1.9,NA,NA,1.5,3,7.7
1971-72,32,KEN,ABA,SF,67,NA,16.6,3.6,6.9,0.524,0,0.1,0.1,3.6,6.8,0.533,0.525,1.6,2.3,0.699,1.1,2.4,3.5,2,NA,NA,1.1,2.3,8.9
1972-73,33,KEN,ABA,SF,83,NA,29,5.2,10.8,0.482,0,0.2,0.176,5.2,10.6,0.488,0.483,1.7,2.3,0.749,1.5,3.3,4.8,4,NA,NA,1.9,3.3,12.2
1973-74,34,KEN,ABA,SF,80,NA,14.6,2.9,6.2,0.474,0,0.2,0.154,2.9,6,0.482,0.476,0.7,0.9,0.838,0.8,1.8,2.6,1.5,0.5,0.1,1,1.7,6.6
Career,NA,,ABA,,541,NA,26,4.9,10.6,0.462,0,0.2,0.133,4.9,10.3,0.469,0.463,2.1,2.9,0.704,1.5,3.2,5,2.7,0.5,0.1,1.8,3.1,11.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,KEN,ABA,,314,NA,19.4,3.8,7.7,0.486,0,0.2,0.137,3.7,7.6,0.494,0.488,1.3,1.8,0.716,1.1,2.5,3.7,2.4,0.5,0.1,1.4,2.6,8.9
3 seasons,NA,"NJA,NYA",ABA,,227,NA,35.1,6.4,14.5,0.444,0,0.3,0.129,6.4,14.2,0.45,0.445,3.1,4.5,0.697,2.2,4.7,6.8,3.3,NA,NA,2.4,3.8,16
