Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,22,DAL,NBA,PG,1,1,22:00,3,4,0.75,1,2,0.5,0,0,NA,2,6,10,2,0,2,1,7
1997-98,24,PHO,NBA,PG,1,0,19:00,0,1,0,0,0,NA,0,0,NA,0,1,9,0,0,2,2,0
1999-00,26,PHO,NBA,PG,1,1,34:00,4,9,0.444,3,6,0.5,0,0,NA,0,5,14,4,0,6,0,11
2000-01,27,PHO,NBA,PG,1,1,30:00,4,6,0.667,3,4,0.75,0,0,NA,0,4,2,5,0,5,3,11
2001-02,28,NJN,NBA,PG,1,1,18:00,1,2,0.5,0,1,0,0,0,NA,0,1,3,1,0,1,0,2
2002-03,29,NJN,NBA,PG,1,0,33:00,4,9,0.444,1,4,0.25,2,2,1,1,5,10,5,0,2,0,11
2003-04,30,NJN,NBA,PG,1,0,21:56,4,6,0.667,3,4,0.75,3,4,0.75,0,3,10,2,0,3,1,14
2006-07,33,NJN,NBA,PG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,34,NJN,NBA,PG,1,1,25:05,1,2,0.5,0,1,0,0,0,NA,0,4,10,4,0,1,0,2
2009-10,36,DAL,NBA,PG,1,0,6:11,0,1,0,0,1,0,0,0,NA,0,2,1,1,0,1,0,0
Career,NA,,NBA,,9,5,209,21,40,0.525,11,23,0.478,5,6,0.833,3,31,69,24,0,23,7,58
