Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,25,WAS,NBA,C,10,10,29.6,3.9,7.2,0.542,0,0,NA,3.9,7.2,0.542,0.542,2.8,4.4,0.636,3.5,4.1,7.6,1,1.4,2,1,4,10.6
2005-06,26,WAS,NBA,C,6,6,25.8,2.5,3.7,0.682,0,0,NA,2.5,3.7,0.682,0.682,2.2,4.2,0.52,1.2,2,3.2,0.8,0.3,1.8,1.2,3.7,7.2
2006-07,27,WAS,NBA,C,3,0,11.3,1.7,2.3,0.714,0,0,NA,1.7,2.3,0.714,0.714,1,1.3,0.75,1,0.7,1.7,0.3,0.3,0,0.3,2.3,4.3
2007-08,28,WAS,NBA,C,6,6,29.7,4.3,7.3,0.591,0,0,NA,4.3,7.3,0.591,0.591,3.3,4.2,0.8,2.2,4.5,6.7,0.8,0.7,1.5,1,4.2,12
2009-10,30,DAL,NBA,C,6,2,23.2,2,3.5,0.571,0,0,NA,2,3.5,0.571,0.571,2,3.3,0.6,3,3.2,6.2,0.5,1.2,1.7,0.5,2.3,6
2010-11,31,DAL,NBA,C,18,0,15.3,1,1.7,0.581,0,0,NA,1,1.7,0.581,0.581,1.1,2.4,0.465,1.9,2.2,4.1,0.2,0.1,1,0.7,2.7,3.1
2011-12,32,DAL,NBA,C,4,4,15.3,1,3.5,0.286,0,0,NA,1,3.5,0.286,0.286,1.3,2,0.625,1.8,1.5,3.3,0.3,0.3,0.5,0.5,2,3.3
2014-15,35,CLE,NBA,C,1,0,2,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
Career,NA,,NBA,,54,28,21.1,2.2,3.9,0.561,0,0,NA,2.2,3.9,0.561,0.561,1.9,3.1,0.598,2.2,2.7,4.9,0.5,0.6,1.3,0.8,3,6.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DAL,NBA,,28,6,17,1.2,2.4,0.515,0,0,NA,1.2,2.4,0.515,0.515,1.3,2.5,0.521,2.1,2.3,4.4,0.3,0.4,1.1,0.6,2.5,3.8
4 seasons,NA,WAS,NBA,,25,22,26.5,3.4,5.8,0.586,0,0,NA,3.4,5.8,0.586,0.586,2.6,3.9,0.653,2.3,3.3,5.6,0.8,0.8,1.6,1,3.8,9.4
1 season,NA,CLE,NBA,,1,0,2,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
