Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Donnell Harvey,,2,1.8,0.7,0.2,0.1,NA,NA,NA
Ben Coleman,90.7,2,1.8,0.8,0.5,0,NA,NA,NA
Sam Pellom,89.8,2.2,1.8,0.7,0,NA,NA,NA,NA
Alaa Abdelnaby,83.6,2.1,2,0.5,0.3,-0.1,NA,NA,NA
Joe Holup,83.3,2.1,1.8,0.3,NA,NA,NA,NA,NA
Stan Love,82.4,2.2,2.1,0.7,0.6,NA,NA,NA,NA
Jan Veselý,82.2,1.7,1.6,0.7,NA,NA,NA,NA,NA
Solomon Jones,81.7,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Bob Bedell,81.2,2.4,2.2,0.8,0.1,NA,NA,NA,NA
Jonathan Bender,80.5,2,1.7,0.5,0.2,0,-0.1,-0.2,-0.2
Taurean Waller-Prince,80.3,2,1.5,1.1,NA,NA,NA,NA,NA
