Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,19,SAC,NBA,C,71,931,11.6,0.486,0.066,0.182,8.8,20.1,14.6,7.7,0.8,3.3,14,19.2,NA,-0.2,0.8,0.6,0.033,NA,-3.2,-0.9,-4.1,-0.5
2008-09,20,SAC,NBA,C,77,2259,13,0.509,0.144,0.17,7.6,20.9,14.2,11.3,1,3.1,15.7,20.2,NA,-0.4,1.2,0.8,0.016,NA,-1.9,-1.1,-3,-0.6
2009-10,21,SAC,NBA,C,72,1904,13.8,0.507,0.131,0.159,8.6,17.7,13.1,13.2,0.9,3.2,15.5,19.6,NA,0.5,1.6,2.1,0.054,NA,-1.2,0.1,-1.2,0.4
2010-11,22,PHI,NBA,C,81,1718,12.8,0.481,0.065,0.155,8.7,22.5,15.6,11.2,0.9,3.1,13.8,18.9,NA,-0.3,2.6,2.4,0.066,NA,-2.5,0.7,-1.9,0
2011-12,23,PHI,NBA,C,37,920,18.1,0.517,0.038,0.172,9.4,23.3,16.3,17.6,0.9,3.9,13.8,20.3,NA,1.1,1.9,2.9,0.152,NA,-0.2,1.6,1.5,0.8
2012-13,24,PHI,NBA,C,82,2233,16,0.514,0.107,0.194,8.5,21.7,14.9,13.5,0.6,3.9,13,20.9,NA,1.7,2.8,4.5,0.096,NA,-1.1,0.6,-0.5,0.9
2013-14,25,TOT,NBA,C,80,2470,15.7,0.554,0.349,0.172,5.6,24.2,14.6,15.8,0.9,3.1,15.4,19.6,NA,2.2,2.3,4.5,0.088,NA,0.3,0.2,0.6,1.6
2013-14,25,PHI,NBA,C,53,1666,15.3,0.546,0.346,0.172,5.5,24.6,14.7,16.9,0.9,3.2,15.9,19,NA,1.2,1.4,2.6,0.075,NA,0,0.2,0.2,0.9
2013-14,25,CLE,NBA,C,27,804,16.6,0.571,0.354,0.172,5.9,23.6,14.5,13.5,0.8,2.8,14.5,20.7,NA,1,0.9,1.9,0.114,NA,1,0.3,1.3,0.7
2014-15,26,LAC,NBA,PF,73,1274,9.8,0.478,0.424,0.164,2.7,19.7,11.4,10,1,3.4,12.1,17.9,NA,-0.3,1.5,1.2,0.044,NA,-3,0.7,-2.3,-0.1
2015-16,27,CHO,NBA,PF,57,1035,12.4,0.508,0.333,0.212,5.3,20.6,12.9,16.3,1.1,2.1,14.8,17.1,NA,0.6,1.4,1.9,0.09,NA,-1.6,1,-0.6,0.3
2016-17,28,TOT,NBA,PF,54,797,15.6,0.562,0.292,0.188,5.3,21.5,13.4,16.5,0.9,3.3,14,19.8,NA,0.7,1,1.7,0.102,NA,-0.3,0.8,0.5,0.5
2016-17,28,CHO,NBA,PF,35,626,14.8,0.545,0.252,0.156,5.6,20.1,12.8,16.1,1,3.6,14.7,19.6,NA,0.3,0.8,1.1,0.086,NA,-1.1,0.9,-0.1,0.3
2016-17,28,MIL,NBA,PF,19,171,18.6,0.62,0.441,0.305,4.1,26.3,15.3,17.7,0.6,2.1,11.9,20.3,NA,0.4,0.2,0.6,0.16,NA,2.3,0.5,2.8,0.2
Career,NA,,NBA,,684,15541,14,0.514,0.191,0.175,7.2,21.4,14.2,13.2,0.9,3.3,14.4,19.5,NA,5.5,17.1,22.6,0.07,NA,-1.4,0.2,-1.1,3.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,253,6537,15.3,0.515,0.148,0.176,7.9,22.9,15.2,14.3,0.8,3.5,14,19.8,NA,3.7,8.7,12.3,0.091,NA,-1.1,0.7,-0.4,2.6
3 seasons,NA,SAC,NBA,,220,5094,13,0.504,0.125,0.168,8.2,19.6,13.9,11.4,0.9,3.2,15.3,19.8,NA,-0.1,3.6,3.5,0.033,NA,-1.9,-0.6,-2.5,-0.7
2 seasons,NA,CHO,NBA,,92,1661,13.3,0.523,0.3,0.189,5.4,20.4,12.9,16.3,1.1,2.7,14.7,18.1,NA,0.9,2.1,3.1,0.088,NA,-1.4,1,-0.4,0.6
1 season,NA,LAC,NBA,,73,1274,9.8,0.478,0.424,0.164,2.7,19.7,11.4,10,1,3.4,12.1,17.9,NA,-0.3,1.5,1.2,0.044,NA,-3,0.7,-2.3,-0.1
1 season,NA,CLE,NBA,,27,804,16.6,0.571,0.354,0.172,5.9,23.6,14.5,13.5,0.8,2.8,14.5,20.7,NA,1,0.9,1.9,0.114,NA,1,0.3,1.3,0.7
1 season,NA,MIL,NBA,,19,171,18.6,0.62,0.441,0.305,4.1,26.3,15.3,17.7,0.6,2.1,11.9,20.3,NA,0.4,0.2,0.6,0.16,NA,2.3,0.5,2.8,0.2
