Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,23,SAS,NBA,PF,79,NA,21.7,4.3,8.6,0.499,0,0,0,4.3,8.6,0.499,0.499,1.6,2.4,0.663,1.7,2.9,4.5,1,0.6,0.6,1.6,3.6,10.2
1981-82,24,TOT,NBA,PF,75,48,25.4,4.7,8.8,0.53,0,0,0,4.7,8.8,0.531,0.53,1.6,2.1,0.756,1.9,4.1,6,1,0.4,0.8,1.3,3.4,10.9
1981-82,24,SAS,NBA,PF,21,17,24,4.5,9.2,0.485,0,0,NA,4.5,9.2,0.485,0.485,1.5,1.9,0.8,2,4.5,6.5,1,0.3,0.8,1.2,3.2,10.5
1981-82,24,CLE,NBA,PF,23,22,26.8,4.1,7.6,0.537,0,0,NA,4.1,7.6,0.537,0.537,1.5,1.9,0.795,1.9,3.6,5.4,1,0.3,0.7,1,3.2,9.7
1981-82,24,KCK,NBA,PF,31,9,25.3,5.3,9.5,0.556,0,0,0,5.3,9.4,0.558,0.556,1.6,2.3,0.708,1.7,4.4,6.1,1,0.6,0.9,1.6,3.8,12.2
1982-83,25,TOT,NBA,SF,79,8,19.5,3.1,6.4,0.485,0,0.1,0.25,3.1,6.4,0.487,0.486,1.2,1.6,0.731,1.4,2.3,3.7,0.9,0.3,0.5,1.3,2.9,7.5
1982-83,25,KCK,NBA,SF,50,0,19.8,3.6,7.1,0.501,0,0.1,0.25,3.5,7,0.504,0.503,1.5,2,0.73,1.5,2.5,4,1,0.4,0.5,1.4,3,8.6
1982-83,25,PHI,NBA,SF,29,8,18.9,2.4,5.3,0.448,0,0,NA,2.4,5.3,0.448,0.448,0.8,1,0.733,1.1,2,3.1,0.8,0.3,0.6,1.2,2.8,5.5
1983-84,26,NJN,NBA,PF,72,4,11.4,1.8,3.6,0.496,0,0,0,1.8,3.5,0.498,0.496,1.3,1.8,0.73,0.7,1.2,1.9,0.6,0.3,0.3,0.8,2,4.8
Career,NA,,NBA,,305,60,19.6,3.5,6.9,0.505,0,0,0.143,3.5,6.9,0.506,0.505,1.4,2,0.716,1.4,2.6,4.1,0.9,0.4,0.6,1.3,3,8.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SAS,NBA,,100,17,22.2,4.3,8.8,0.495,0,0,0,4.3,8.8,0.496,0.495,1.6,2.3,0.687,1.8,3.2,5,1,0.5,0.6,1.6,3.5,10.3
2 seasons,NA,KCK,NBA,,81,9,21.9,4.2,8,0.526,0,0.1,0.2,4.2,7.9,0.529,0.527,1.5,2.1,0.721,1.6,3.2,4.8,1,0.5,0.7,1.5,3.3,10
1 season,NA,NJN,NBA,,72,4,11.4,1.8,3.6,0.496,0,0,0,1.8,3.5,0.498,0.496,1.3,1.8,0.73,0.7,1.2,1.9,0.6,0.3,0.3,0.8,2,4.8
1 season,NA,PHI,NBA,,29,8,18.9,2.4,5.3,0.448,0,0,NA,2.4,5.3,0.448,0.448,0.8,1,0.733,1.1,2,3.1,0.8,0.3,0.6,1.2,2.8,5.5
1 season,NA,CLE,NBA,,23,22,26.8,4.1,7.6,0.537,0,0,NA,4.1,7.6,0.537,0.537,1.5,1.9,0.795,1.9,3.6,5.4,1,0.3,0.7,1,3.2,9.7
