Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jason Hart,,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3
Darrick Martin,87.5,4.6,1.9,1.3,0.7,0.5,0.2,0.1,0,-0.2
Johnny Neumann,85.1,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA
Jaren Jackson,82.7,4.1,2.1,1.6,0.4,0.1,0,0,0,-0.1
Seth Curry,81.2,4.6,2.4,1.4,0,0,NA,NA,NA,NA
Ed Fleming,80.2,5,2,1.2,1,0.8,NA,NA,NA,NA
Matt Maloney,79.3,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA
Troy Hudson,78.0,5.1,2.5,1.3,0.7,0.6,0.5,0.1,0,-0.2
Gene Vance,76.3,5.3,2.2,1.6,1.3,0,NA,NA,NA,NA
Anthony Carter,75.9,3.8,1.7,1.4,0.6,0.5,0.2,-0.1,-0.2,-0.3
Michael Dickerson,74.0,5.5,2.2,1.8,0.1,-0.1,NA,NA,NA,NA
