Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,WAS,NBA,PG,75,14,1392,157,407,0.386,75,202,0.371,82,205,0.4,0.478,55,67,0.821,18,99,117,209,57,7,128,100,444
2004-05,24,WAS,NBA,PG,44,1,648,61,186,0.328,36,93,0.387,25,93,0.269,0.425,33,41,0.805,18,53,71,69,13,0,39,47,191
2005-06,25,POR,NBA,PG,68,57,1781,206,470,0.438,76,184,0.413,130,286,0.455,0.519,72,91,0.791,26,120,146,306,42,5,83,107,560
2006-07,26,TOT,NBA,PG,82,42,2225,209,509,0.411,67,208,0.322,142,301,0.472,0.476,43,64,0.672,21,148,169,408,61,8,129,121,528
2006-07,26,MIL,NBA,PG,33,2,583,45,129,0.349,19,68,0.279,26,61,0.426,0.422,11,20,0.55,7,38,45,84,10,3,28,49,120
2006-07,26,DEN,NBA,PG,49,40,1642,164,380,0.432,48,140,0.343,116,240,0.483,0.495,32,44,0.727,14,110,124,324,51,5,101,72,408
2007-08,27,POR,NBA,PG,81,78,2424,261,640,0.408,121,298,0.406,140,342,0.409,0.502,49,64,0.766,31,164,195,413,55,4,113,133,692
2008-09,28,POR,NBA,PG,69,69,2188,277,647,0.428,140,328,0.427,137,319,0.429,0.536,63,75,0.84,28,145,173,348,69,4,108,126,757
2009-10,29,TOT,NBA,PG,80,38,2159,217,522,0.416,116,294,0.395,101,228,0.443,0.527,36,48,0.75,21,166,187,380,58,6,128,123,586
2009-10,29,POR,NBA,PG,51,28,1397,143,355,0.403,78,207,0.377,65,148,0.439,0.513,24,32,0.75,15,103,118,203,37,2,65,84,388
2009-10,29,LAC,NBA,PG,29,10,762,74,167,0.443,38,87,0.437,36,80,0.45,0.557,12,16,0.75,6,63,69,177,21,4,63,39,198
2010-11,30,LAL,NBA,PG,79,0,1581,110,306,0.359,73,193,0.378,37,113,0.327,0.479,26,30,0.867,19,137,156,170,40,3,73,99,319
2011-12,31,LAL,NBA,PG,53,5,1237,101,268,0.377,53,158,0.335,48,110,0.436,0.476,21,27,0.778,9,76,85,175,39,2,72,75,276
2012-13,32,LAL,NBA,PG,45,13,1175,114,270,0.422,72,171,0.421,42,99,0.424,0.556,27,35,0.771,21,111,132,173,34,6,62,83,327
2013-14,33,TOT,NBA,PG,55,28,1498,133,353,0.377,79,210,0.376,54,143,0.378,0.489,33,43,0.767,13,146,159,307,54,8,102,85,378
2013-14,33,LAL,NBA,PG,27,27,891,88,233,0.378,52,131,0.397,36,102,0.353,0.489,28,35,0.8,8,95,103,205,34,2,71,49,256
2013-14,33,GSW,NBA,PG,28,1,607,45,120,0.375,27,79,0.342,18,41,0.439,0.488,5,8,0.625,5,51,56,102,20,6,31,36,122
2014-15,34,POR,NBA,PG,81,0,1529,122,327,0.373,77,219,0.352,45,108,0.417,0.491,29,41,0.707,16,121,137,288,41,5,104,118,350
2015-16,35,DET,NBA,PG,58,2,986,93,240,0.388,52,151,0.344,41,89,0.461,0.496,16,20,0.8,9,80,89,200,24,5,81,70,254
Career,NA,,NBA,,870,347,20823,2061,5145,0.401,1037,2709,0.383,1024,2436,0.42,0.501,503,646,0.779,250,1566,1816,3446,587,63,1222,1287,5662
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,POR,NBA,,350,232,9319,1009,2439,0.414,492,1236,0.398,517,1203,0.43,0.515,237,303,0.782,116,653,769,1558,244,20,473,568,2747
4 seasons,NA,LAL,NBA,,204,45,4884,413,1077,0.383,250,653,0.383,163,424,0.384,0.5,102,127,0.803,57,419,476,723,147,13,278,306,1178
2 seasons,NA,WAS,NBA,,119,15,2040,218,593,0.368,111,295,0.376,107,298,0.359,0.461,88,108,0.815,36,152,188,278,70,7,167,147,635
1 season,NA,DET,NBA,,58,2,986,93,240,0.388,52,151,0.344,41,89,0.461,0.496,16,20,0.8,9,80,89,200,24,5,81,70,254
1 season,NA,DEN,NBA,,49,40,1642,164,380,0.432,48,140,0.343,116,240,0.483,0.495,32,44,0.727,14,110,124,324,51,5,101,72,408
1 season,NA,MIL,NBA,,33,2,583,45,129,0.349,19,68,0.279,26,61,0.426,0.422,11,20,0.55,7,38,45,84,10,3,28,49,120
1 season,NA,LAC,NBA,,29,10,762,74,167,0.443,38,87,0.437,36,80,0.45,0.557,12,16,0.75,6,63,69,177,21,4,63,39,198
1 season,NA,GSW,NBA,,28,1,607,45,120,0.375,27,79,0.342,18,41,0.439,0.488,5,8,0.625,5,51,56,102,20,6,31,36,122
