Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Cole Aldrich,,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0
Željko Rebrača,82.5,3.3,2.4,1.3,0.7,0.5,NA,NA,NA
Jake Tsakalidis,82.1,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA
Cherokee Parks,80.6,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0
Hub Reed,80.2,2.8,2,1.7,1.3,1,0.6,0,NA
Carlos Rogers,79.1,4,2.2,2,0.9,0.9,0.5,0.5,0
Alexis Ajinça,78.9,3.2,2.1,1,1,0.4,0,-0.1,NA
Paul Mokeski,78.3,3.4,1.7,1.6,1.4,1.1,0.9,0.8,-0.1
Jim McIlvaine,78.2,3,1.9,1.8,1.5,0.8,0.3,0.1,NA
Bill Wennington,77.6,3.5,2.3,2.1,1.3,1.2,0.9,0.5,0.4
Connie Dierking,77.0,4.2,3,1.4,1,0.7,0.5,0.5,0.1
