Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,24,LAC,NBA,SF,66,12,20.9,2.7,6.8,0.401,0.8,2.5,0.319,1.9,4.2,0.45,0.461,1.2,1.6,0.752,0.5,1.9,2.4,2.9,1.5,0.2,1.6,1.9,7.4
2003-04,25,LAC,NBA,PG,58,50,30.3,3.2,8.2,0.388,0.9,2.6,0.34,2.3,5.6,0.41,0.441,1.3,1.7,0.733,0.8,2.3,3,4.8,1.6,0.3,2,2.3,8.5
2004-05,26,LAC,NBA,PG,50,41,33.1,3.8,9.1,0.414,1.1,3,0.371,2.7,6.1,0.435,0.475,1.2,1.6,0.72,0.4,2.8,3.2,6.1,1.7,0.3,2,2.1,9.9
2005-06,27,MIN,NBA,PG,75,49,28,3,7.5,0.399,0.5,1.8,0.301,2.5,5.8,0.43,0.435,1.3,1.8,0.688,0.8,2.3,3.1,3.9,1.4,0.3,1.7,2.5,7.8
2006-07,28,MIN,NBA,SG,70,13,22.2,1.9,4.6,0.418,0.5,1.2,0.376,1.5,3.4,0.433,0.468,1,1.3,0.761,0.8,1.9,2.6,2.1,1.1,0.2,1.3,2.5,5.3
2007-08,29,MIN,NBA,SG,75,56,29.2,3,7,0.43,0.6,1.7,0.362,2.4,5.3,0.451,0.473,1.6,2.2,0.742,0.5,2.5,3,4.1,1.3,0.4,1.7,2.4,8.3
2008-09,30,MEM,NBA,SG,53,0,11.4,0.9,2.7,0.331,0.2,0.5,0.393,0.7,2.2,0.316,0.369,0.5,0.8,0.707,0.4,0.8,1.2,1.4,0.5,0.2,0.9,1.2,2.6
Career,NA,,NBA,,447,221,25.2,2.7,6.6,0.404,0.6,1.9,0.344,2,4.7,0.428,0.453,1.2,1.6,0.73,0.6,2.1,2.7,3.6,1.3,0.3,1.6,2.2,7.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIN,NBA,,220,118,26.6,2.7,6.5,0.415,0.5,1.6,0.342,2.1,4.9,0.439,0.457,1.3,1.8,0.728,0.7,2.2,2.9,3.4,1.3,0.3,1.6,2.5,7.2
3 seasons,NA,LAC,NBA,,174,103,27.6,3.2,7.9,0.401,0.9,2.7,0.343,2.3,5.2,0.43,0.459,1.2,1.7,0.736,0.6,2.3,2.9,4.5,1.6,0.3,1.8,2.1,8.5
1 season,NA,MEM,NBA,,53,0,11.4,0.9,2.7,0.331,0.2,0.5,0.393,0.7,2.2,0.316,0.369,0.5,0.8,0.707,0.4,0.8,1.2,1.4,0.5,0.2,0.9,1.2,2.6
