Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Adam Keefe,,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA,NA
Markieff Morris,95.2,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA,NA
Brandan Wright,88.7,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,NA,NA
Dorell Wright,87.9,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,NA
Bison Dele,87.4,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA,NA
Tracy Murray,86.7,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2
Pervis Ellison,85.4,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0,NA
Chuck Hayes,85.4,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0,NA
James Johnson,85.3,5.1,5,4.1,3,2.6,1.5,1.3,0.8,0.6,-0.5,NA,NA
Andrés Nocioni,85.3,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA,NA
Buck Johnson,84.5,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA,NA
