Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,23,LAL,NBA,SG,10,0,286,3.8,10.1,0.375,1.5,3.4,0.444,2.3,6.7,0.34,1.9,2.6,0.714,0.9,3.1,4,2.5,1,1.1,2.1,3.4,11
1995-96,24,LAL,NBA,SG,4,4,155,6.3,11.4,0.551,2.3,4.4,0.526,3.9,7,0.567,1.2,1.9,0.625,1.6,3.3,4.9,1.4,1.9,0.2,0.9,3.7,16
1996-97,25,LAL,NBA,SG,9,9,283,4.2,9.2,0.458,1.1,3.1,0.375,3.1,6.1,0.5,3.3,4.5,0.743,1,2.9,3.9,3.7,1.1,0.5,1.7,3.1,12.8
1997-98,26,LAL,NBA,SG,13,13,476,5.2,11.2,0.466,1.5,3.6,0.417,3.7,7.6,0.49,4.8,5.7,0.829,0.9,2.9,3.9,2.4,2,1.6,1.3,2.8,16.7
1999-00,28,CHH,NBA,SG,4,4,171,4.6,12.2,0.379,1.9,5.5,0.346,2.7,6.7,0.406,3.2,3.4,0.938,0.8,3.4,4.2,4,2.1,0.6,1.1,2.5,14.3
2000-01,29,MIA,NBA,SG,3,3,108,7.3,14.7,0.5,2.3,5.3,0.438,5,9.3,0.536,2,2.3,0.857,0.7,5.3,6,2.3,1,0.3,2.3,3,19
2003-04,32,MIA,NBA,SG,13,13,478,4.2,11.5,0.366,1.5,5,0.299,2.7,6.5,0.419,3,3.8,0.8,0.2,3.3,3.5,2.2,1.4,0.8,1.4,2.8,13
2004-05,33,MIA,NBA,SF,15,15,601,4.3,9.3,0.455,1.9,4.8,0.4,2.3,4.6,0.513,1.9,2.5,0.738,0.6,4.6,5.2,2.3,1.1,0.5,1.3,3.4,12.3
2005-06,34,MEM,NBA,SG,4,3,119,4.2,8.8,0.483,0.9,2.1,0.429,3.3,6.7,0.5,3,4.5,0.667,0.9,2.4,3.3,3,0.9,0.3,0.3,3,12.4
2006-07,35,MIA,NBA,SG,3,2,66,1.1,4.9,0.222,0.5,3.3,0.167,0.5,1.6,0.333,2.7,3.3,0.833,0.5,2.7,3.3,2.7,0.5,0.5,0.5,3.8,5.5
2007-08,36,DAL,NBA,SG,3,0,22,3.3,9.8,0.333,1.6,6.5,0.25,1.6,3.3,0.5,1.6,1.6,1,0,4.9,4.9,1.6,1.6,0,1.6,4.9,9.8
Career,NA,,NBA,,81,66,2765,4.5,10.5,0.433,1.6,4.2,0.383,2.9,6.2,0.467,2.8,3.6,0.783,0.7,3.5,4.3,2.6,1.4,0.8,1.4,3.1,13.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,LAL,NBA,,36,26,1200,4.8,10.5,0.456,1.5,3.5,0.432,3.2,6.9,0.468,3.3,4.2,0.779,1,3,4.1,2.6,1.5,1,1.5,3.1,14.3
4 seasons,NA,MIA,NBA,,34,33,1253,4.3,10.4,0.417,1.7,4.9,0.355,2.6,5.5,0.472,2.4,3,0.781,0.5,4.1,4.5,2.3,1.1,0.6,1.4,3.2,12.8
1 season,NA,CHH,NBA,,4,4,171,4.6,12.2,0.379,1.9,5.5,0.346,2.7,6.7,0.406,3.2,3.4,0.938,0.8,3.4,4.2,4,2.1,0.6,1.1,2.5,14.3
1 season,NA,MEM,NBA,,4,3,119,4.2,8.8,0.483,0.9,2.1,0.429,3.3,6.7,0.5,3,4.5,0.667,0.9,2.4,3.3,3,0.9,0.3,0.3,3,12.4
1 season,NA,DAL,NBA,,3,0,22,3.3,9.8,0.333,1.6,6.5,0.25,1.6,3.3,0.5,1.6,1.6,1,0,4.9,4.9,1.6,1.6,0,1.6,4.9,9.8
