Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kyle Anderson,,6.2,3.5,2.7,2.7,0.3,NA,NA
JaMychal Green,90.9,5.8,2.9,2.6,2.6,0.4,NA,NA
Monk Meineke,90.3,6.1,3.7,2.6,1.8,0.7,NA,NA
Tom Boswell,89.5,5.6,3.7,2.7,2.4,0.6,0.2,NA
Jim Baechtold,89.0,6,3.2,2.6,2.1,0.9,NA,NA
Willie Cauley-Stein,84.3,6.7,3.9,3.8,2.9,NA,NA,NA
George Irvine,84.3,5.5,3.7,3.2,2.5,1.2,0,NA
Robert Covington,83.7,6.1,4,3.1,2.5,2,0.1,NA
Walt Budko,82.6,5.6,4,2.7,1.5,NA,NA,NA
Randolph Mahaffey,81.2,5.7,4.7,3.7,2.6,NA,NA,NA
Neil Johnson,80.8,6.3,2.5,2.2,1.9,0.2,-0.2,-0.3
