,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,25,HOU,NBA,SG,79,3002,.434,12.4,.792,.309,.121,.127,.236,.208,.454,.619,.320,.338,.371,.357,.387,.030,34,.844,.266,.328,5,1
2001-02,26,HOU,NBA,SG,74,3116,.438,15.8,.722,.180,.071,.129,.342,.278,.455,.624,.292,.400,.419,.395,.374,.019,22,.799,.289,.450,2,0
2002-03,27,HOU,NBA,SG,73,3044,.434,14.3,.702,.267,.085,.101,.248,.298,.469,.614,.319,.417,.385,.352,.365,.036,38,.938,.324,.408,4,1
2003-04,28,HOU,NBA,SG,80,3229,.426,15.8,.611,.208,.088,.109,.206,.389,.448,.582,.389,.322,.404,.390,.348,.018,19,.829,.264,.378,3,0
2004-05,29,TOT,NBA,SG,66,2388,.438,16.5,.633,.166,.075,.112,.280,.367,.437,.581,.357,.375,.398,.439,.391,.023,19,.827,.231,.519,1,0
2004-05,29,ORL,NBA,SG,23,726,.432,18.0,.578,.132,.054,.115,.277,.422,.409,.513,.313,.382,.390,.464,.500,.014,4,.793,.200,.520,0,0
2004-05,29,SAC,NBA,SG,43,1662,.440,15.9,.659,.182,.085,.110,.281,.341,.449,.603,.370,.371,.402,.424,.351,.027,15,.848,.249,.519,1,0
2005-06,30,LAC,NBA,SG,79,2979,.426,14.3,.757,.218,.101,.170,.268,.243,.453,.532,.431,.433,.411,.339,.488,.005,5,.952,.290,.366,1,0
2006-07,31,LAC,NBA,SG,78,2841,.440,15.0,.721,.203,.095,.153,.270,.279,.451,.598,.452,.378,.382,.411,.578,.010,9,.921,.280,.406,1,0
2007-08,32,LAC,NBA,SG,77,2702,.433,15.0,.779,.183,.070,.207,.320,.221,.457,.553,.508,.472,.381,.349,.513,.020,17,.970,.339,.385,2,0
2008-09,33,LAC,NBA,SG,11,365,.432,12.4,.760,.349,.034,.158,.219,.240,.459,.510,.200,.609,.313,.343,.490,.021,2,1.000,.371,.385,0,0
Career,,,NBA,,617,23666,.434,14.8,.716,.221,.088,.136,.271,.284,.454,.591,.373,.401,.395,.382,.427,.020,165,.872,.283,.408,19,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,HOU,NBA,,306,12391,.433,14.6,.710,.239,.091,.118,.263,.290,.456,.612,.329,.369,.398,.377,.371,.025,113,.847,.285,.397,14,2
4 seasons,,LAC,NBA,,245,8887,.433,14.6,.753,.210,.087,.175,.281,.247,.454,.555,.452,.440,.389,.366,.522,.012,33,.947,.304,.385,4,0
1 season,,SAC,NBA,,43,1662,.440,15.9,.659,.182,.085,.110,.281,.341,.449,.603,.370,.371,.402,.424,.351,.027,15,.848,.249,.519,1,0
1 season,,ORL,NBA,,23,726,.432,18.0,.578,.132,.054,.115,.277,.422,.409,.513,.313,.382,.390,.464,.500,.014,4,.793,.200,.520,0,0
