Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1998-99,22,ORL,NBA,SF,50,1114,13,0.533,0.078,0.447,9,13.4,11.2,7.1,1.5,0.4,16,18.6,NA,1.2,1.5,2.6,0.113,NA,-1.5,-0.3,-1.7,0.1
1999-00,23,ORL,NBA,SF,4,63,14.2,0.398,0.118,0.412,8.7,12.1,10.4,17.2,3.9,1.1,4.7,14.1,NA,0.1,0.1,0.2,0.146,NA,0.2,3,3.2,0.1
2000-01,24,CLE,NBA,SG,56,1615,13.3,0.522,0.099,0.315,6.5,10.9,8.7,10.9,1.4,0.8,13.1,19.2,NA,1.8,0.8,2.6,0.077,NA,-0.4,-1,-1.3,0.3
2001-02,25,PHI,NBA,SF,81,2541,14.1,0.512,0.082,0.265,9.2,16.3,12.8,7.5,1.5,0.2,12,19.1,NA,2.6,3.6,6.1,0.115,NA,-0.5,-0.3,-0.8,0.8
2002-03,26,UTA,NBA,SF,78,2557,19.3,0.588,0.157,0.325,9.4,14.8,12.2,9.9,1.5,0.5,12.1,23.9,NA,6.4,2.4,8.8,0.166,NA,3,-1.1,1.9,2.6
2003-04,27,UTA,NBA,SF,31,1134,16.1,0.524,0.08,0.383,9.8,17.3,13.5,10.9,1.1,0.1,11.9,22.3,NA,1.9,0.9,2.8,0.116,NA,1,-1.8,-0.8,0.3
2004-05,28,UTA,NBA,SF,78,2584,15.5,0.549,0.05,0.368,9.2,14,11.5,9.9,1.5,0.5,11.8,20.1,NA,4.2,1.2,5.5,0.102,NA,0.9,-1.2,-0.3,1.1
2005-06,29,UTA,NBA,SF,71,1944,16.3,0.542,0.058,0.462,9.8,13.2,11.5,9.6,1.7,0.6,11.8,22,NA,3.1,1.6,4.7,0.115,NA,0.6,-1.2,-0.6,0.7
2006-07,30,UTA,NBA,SF,77,1965,14.7,0.564,0.059,0.471,7.3,14.6,10.9,8.2,1.4,0.5,13,20.8,NA,3.1,1.6,4.7,0.115,NA,-0.4,-0.7,-1,0.5
2007-08,31,UTA,NBA,SF,76,1374,14.1,0.551,0.021,0.432,8.6,12.7,10.7,9,1.7,0.8,14.4,21.5,NA,1.4,1.4,2.8,0.096,NA,-1,-0.9,-1.9,0
2008-09,32,UTA,NBA,SG,63,693,12.3,0.508,0.008,0.299,8.1,13.1,10.6,6.4,2.2,1,9.6,19.5,NA,0.4,0.8,1.2,0.086,NA,-2.8,0,-2.8,-0.2
Career,NA,,NBA,,665,17584,15.3,0.545,0.079,0.371,8.7,14.2,11.5,9.1,1.5,0.5,12.5,20.8,NA,26.2,15.7,41.9,0.114,NA,0.3,-0.9,-0.6,6.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,UTA,NBA,,474,12251,16,0.555,0.075,0.393,8.9,14.2,11.6,9.4,1.5,0.6,12.2,21.6,NA,20.5,9.9,30.4,0.119,NA,0.7,-1,-0.4,5
1 season,NA,PHI,NBA,,81,2541,14.1,0.512,0.082,0.265,9.2,16.3,12.8,7.5,1.5,0.2,12,19.1,NA,2.6,3.6,6.1,0.115,NA,-0.5,-0.3,-0.8,0.8
1 season,NA,CLE,NBA,,56,1615,13.3,0.522,0.099,0.315,6.5,10.9,8.7,10.9,1.4,0.8,13.1,19.2,NA,1.8,0.8,2.6,0.077,NA,-0.4,-1,-1.3,0.3
2 seasons,NA,ORL,NBA,,54,1177,13.1,0.526,0.08,0.445,9,13.3,11.1,7.7,1.6,0.4,15.5,18.3,NA,1.2,1.6,2.8,0.114,NA,-1.4,-0.1,-1.5,0.2
