Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
George McCloud,,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7
Darrell Walker,89.1,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,NA,NA
Anthony Morrow,88.4,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA
Kevin Grevey,87.0,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1,NA,NA
Bimbo Coles,86.7,5.7,5,3.2,3,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0
Marco Belinelli,85.8,5.9,3.7,3.4,3.2,3,2.9,2.9,2.5,1.2,0.5,0.5,0
Steve Blake,85.4,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1,0.7,0.3
Rex Chapman,85.3,4.5,4.2,3.9,3.3,3,2.5,1.9,1.4,0.9,0.1,-0.2,-0.7
Lionel Hollins,85.1,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,NA,NA
Chris Childs,84.3,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA,NA,NA
Randy Foye,84.3,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1,0.4,0.2,NA
