Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Chet Walker,,14.5,10.9,10.9,10.6,10.5,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7,NA,NA,NA
Kevin McHale,95.0,14.8,11.1,11,11,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4,2.8,NA,NA,NA
Rick Barry,92.7,14.4,12.7,11.1,10.4,10.4,10.2,9.7,9.6,8.5,8.4,8.1,7.8,4.2,3.4,NA,NA
Bailey Howell,92.3,14,11.8,11.7,11.3,10.9,10.7,10.1,9.8,8.7,7.6,5,3.1,NA,NA,NA,NA
Dominique Wilkins,92.3,12.2,11.4,11.1,10.8,10.5,10.4,9.8,8.4,7.6,7,5.8,5.1,3.9,3.4,0.3,NA
Larry Nance,92.1,12.2,10.7,10.5,10.3,10.2,9.8,9.8,8.4,8,7.9,6.5,2.8,2.4,NA,NA,NA
Adrian Dantley,87.8,14.6,13.6,12.8,12.6,12.2,10.5,10.3,9.8,9.4,8,7.4,5.7,4.3,3.1,0.1,NA
Detlef Schrempf,86.7,12.9,10.4,10.4,9.8,9,8.4,8.2,8.1,8,5.8,5.2,4.4,4,3.6,0.8,0.5
LaMarcus Aldridge,86.3,11.1,10.9,10.1,9.5,9.3,8.8,8.6,7.5,7.2,7.2,7,6.2,3.4,NA,NA,NA
Jerry Lucas,86.2,12.7,11.2,10.5,10.1,9.9,9.5,8.1,7.9,7.8,7.3,3.4,NA,NA,NA,NA,NA
Chris Bosh,86.1,10.3,10.1,9.8,9.7,9.6,9.6,9,8,6.9,6.8,6.4,6.2,3.6,NA,NA,NA
