Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,22,LAL,NBA,C,74,NA,27.1,3.5,7.9,0.447,1.6,2.9,0.566,NA,NA,9.1,1.2,NA,NA,3.5,8.7
1970-71,23,LAL,NBA,C,65,NA,14,1.9,4.6,0.415,1.4,2.2,0.615,NA,NA,4.7,0.7,NA,NA,1.9,5.2
1971-72,24,CLE,NBA,PF,63,NA,35,4.8,10.9,0.442,3.4,5.8,0.587,NA,NA,12.7,1.7,NA,NA,4,13.1
1972-73,25,CLE,NBA,C,62,NA,34.3,5,11.4,0.433,2.7,4.7,0.576,NA,NA,11.2,2.2,NA,NA,4,12.6
1973-74,26,POR,NBA,C,69,NA,29.9,5.3,11.6,0.457,3,4.6,0.649,3.6,6.5,10.2,1.9,0.9,0.8,3.7,13.5
1974-75,27,NOJ,NBA,C,16,NA,21.2,3,6.8,0.444,1.4,2.5,0.575,2.4,4.9,7.4,1.4,0.4,0.5,3.1,7.4
1975-76,28,KCK,NBA,C,74,NA,9.6,1,2.4,0.406,0.6,1.4,0.408,1,2.1,3.1,0.7,0.2,0.2,1.7,2.5
Career,NA,,NBA,,423,NA,24.5,3.5,8,0.44,2,3.5,0.585,2.3,4.3,8.3,1.4,0.6,0.5,3.1,9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,139,NA,21,2.8,6.4,0.436,1.5,2.6,0.586,NA,NA,7,1,NA,NA,2.7,7.1
2 seasons,NA,CLE,NBA,,125,NA,34.7,4.9,11.2,0.437,3.1,5.2,0.582,NA,NA,12,1.9,NA,NA,4,12.8
1 season,NA,KCK,NBA,,74,NA,9.6,1,2.4,0.406,0.6,1.4,0.408,1,2.1,3.1,0.7,0.2,0.2,1.7,2.5
1 season,NA,POR,NBA,,69,NA,29.9,5.3,11.6,0.457,3,4.6,0.649,3.6,6.5,10.2,1.9,0.9,0.8,3.7,13.5
1 season,NA,NOJ,NBA,,16,NA,21.2,3,6.8,0.444,1.4,2.5,0.575,2.4,4.9,7.4,1.4,0.4,0.5,3.1,7.4
