Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,23,TOT,NBA,C,63,39,19,2.5,4.3,0.575,0,0,0,2.5,4.3,0.577,0.575,1,1.9,0.551,2.3,3.6,5.8,0.7,0.3,0.4,0.8,2.5,6
2014-15,23,HOU,NBA,C,25,12,15.7,1.8,3.3,0.542,0,0,0,1.8,3.3,0.549,0.542,0.6,1.2,0.517,2.3,2.8,5.1,0.3,0.2,0.1,0.8,2.2,4.2
2014-15,23,LAL,NBA,C,38,27,21.1,2.9,5,0.589,0,0,NA,2.9,5,0.589,0.589,1.3,2.3,0.562,2.2,4.1,6.3,0.9,0.3,0.6,0.8,2.7,7.2
2015-16,24,LAL,NBA,C,39,0,12.7,1.5,2.7,0.548,0,0,NA,1.5,2.7,0.548,0.548,0.5,1.2,0.422,1.1,2.9,4,0.4,0.4,0.5,0.6,2,3.4
2016-17,25,LAL,NBA,C,67,16,16.3,2.2,4.4,0.51,0,0,0.5,2.2,4.4,0.51,0.512,1.2,1.6,0.752,2.1,3,5.1,0.6,0.4,0.7,0.9,2.6,5.7
2017-18,26,HOU,NBA,C,51,2,10.5,1.5,2.5,0.591,0,0.2,0.091,1.5,2.3,0.638,0.594,0.6,1.2,0.46,1.2,2,3.2,0.3,0.4,0.6,0.7,2.1,3.5
Career,NA,,NBA,,220,57,15.1,2,3.6,0.55,0,0.1,0.143,2,3.6,0.557,0.551,0.9,1.5,0.582,1.8,2.9,4.7,0.5,0.4,0.5,0.7,2.3,4.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,144,43,16.6,2.2,4.1,0.543,0,0,0.5,2.2,4.1,0.543,0.543,1,1.7,0.621,1.9,3.3,5.1,0.6,0.4,0.6,0.8,2.5,5.5
2 seasons,NA,HOU,NBA,,76,14,12.2,1.6,2.8,0.571,0,0.2,0.083,1.6,2.6,0.601,0.574,0.6,1.2,0.478,1.6,2.2,3.8,0.3,0.4,0.4,0.7,2.1,3.8
