Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,23,PHI,NBA,C,5,5,38.4,5.2,9.4,0.553,0,0,NA,5.2,9.4,0.553,0.553,1.2,3,0.4,3.6,9.2,12.8,0.4,0.4,1.4,1.8,3.8,11.6
2007-08,26,PHI,NBA,C,6,6,32.2,3.2,7.5,0.422,0,0,NA,3.2,7.5,0.422,0.422,2.7,3.2,0.842,3.3,6.2,9.5,0.5,0.3,1.7,1.7,2.8,9
2008-09,27,PHI,NBA,C,6,6,22.2,2.7,4.2,0.64,0,0,NA,2.7,4.2,0.64,0.64,0.5,0.7,0.75,1.7,6.2,7.8,0.5,0.3,1.5,1,4,5.8
2012-13,31,MIL,NBA,C,1,0,9,0,2,0,0,0,NA,0,2,0,0,1,4,0.25,1,2,3,0,1,0,2,3,1
2013-14,32,DAL,NBA,C,7,7,19.3,1.6,3.4,0.458,0,0,NA,1.6,3.4,0.458,0.458,1.4,2.1,0.667,3.3,5.1,8.4,0,0.3,1.4,0.6,2.1,4.6
Career,NA,,NBA,,25,24,26.5,2.9,5.7,0.503,0,0,NA,2.9,5.7,0.503,0.503,1.4,2.3,0.632,2.9,6.3,9.2,0.3,0.4,1.4,1.2,3.1,7.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,PHI,NBA,,17,17,30.5,3.6,6.9,0.521,0,0,NA,3.6,6.9,0.521,0.521,1.5,2.2,0.658,2.8,7.1,9.9,0.5,0.4,1.5,1.5,3.5,8.6
1 season,NA,DAL,NBA,,7,7,19.3,1.6,3.4,0.458,0,0,NA,1.6,3.4,0.458,0.458,1.4,2.1,0.667,3.3,5.1,8.4,0,0.3,1.4,0.6,2.1,4.6
1 season,NA,MIL,NBA,,1,0,9,0,2,0,0,0,NA,0,2,0,0,1,4,0.25,1,2,3,0,1,0,2,3,1
