Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,23,BOS,NBA,PF,61,1376,14,0.548,0.025,0.42,9.3,16.9,13.2,6.8,1.3,0.3,11.6,15.9,NA,1.9,1.2,3.1,0.108,NA,0,-1.2,-1.2,0.3
2006-07,24,BOS,NBA,PF,73,2275,13.7,0.534,0.058,0.322,6.4,15.2,10.7,9.2,1.1,0.4,11.3,18.5,NA,2.5,1.7,4.2,0.089,NA,-0.4,-1,-1.4,0.3
2007-08,25,MIN,NBA,PF,82,2434,15.7,0.539,0.209,0.267,6.1,16.8,11.3,9.6,1.4,0.3,9.1,19.5,NA,3.6,1.2,4.8,0.096,NA,1,-1.1,-0.1,1.1
2008-09,26,MIN,NBA,SF,82,2614,12.5,0.518,0.293,0.186,4.6,13.3,8.8,8.7,1.3,0.6,10.8,20.4,NA,1.3,1.3,2.5,0.046,NA,-0.5,-1.2,-1.7,0.2
2009-10,27,MIN,NBA,SF,76,2210,12.1,0.528,0.272,0.172,3.8,14,8.8,8.8,1.4,0.5,10.8,17.4,NA,1.5,0.9,2.4,0.052,NA,-1,-0.8,-1.8,0.1
2010-11,28,LAC,NBA,SF,76,2095,9,0.504,0.418,0.168,3.4,10.7,7.1,8.5,1.5,0.4,9.2,12.7,NA,1.3,1.2,2.5,0.057,NA,-2.1,0,-2.1,-0.1
2011-12,29,LAC,NBA,SF,32,425,4.4,0.371,0.305,0.116,3.9,13.3,8.5,4.1,2,0,13.1,12.5,NA,-0.5,0.3,-0.2,-0.021,NA,-5.3,-0.7,-6,-0.4
2013-14,31,OKC,NBA,SF,5,34,0.2,0.375,0.25,0,0,12.7,6.6,4.1,0,0,11.1,11.7,NA,-0.1,0,0,-0.039,NA,-7.5,-1.3,-8.8,-0.1
Career,NA,,NBA,,487,13463,12.5,0.525,0.225,0.239,5.3,14.3,9.7,8.6,1.4,0.4,10.5,17.5,NA,11.5,7.9,19.4,0.069,NA,-0.7,-0.9,-1.6,1.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIN,NBA,,240,7258,13.4,0.528,0.259,0.209,4.9,14.7,9.6,9,1.3,0.5,10.2,19.2,NA,6.4,3.4,9.8,0.065,NA,-0.2,-1.1,-1.2,1.4
2 seasons,NA,BOS,NBA,,134,3651,13.8,0.538,0.047,0.354,7.5,15.9,11.6,8.3,1.2,0.4,11.4,17.5,NA,4.4,2.9,7.3,0.096,NA,-0.3,-1.1,-1.3,0.6
2 seasons,NA,LAC,NBA,,108,2520,8.2,0.483,0.4,0.16,3.5,11.1,7.3,7.8,1.6,0.4,9.8,12.7,NA,0.8,1.5,2.3,0.044,NA,-2.7,-0.1,-2.8,-0.5
1 season,NA,OKC,NBA,,5,34,0.2,0.375,0.25,0,0,12.7,6.6,4.1,0,0,11.1,11.7,NA,-0.1,0,0,-0.039,NA,-7.5,-1.3,-8.8,-0.1
