Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1985-86,23,NYK,NBA,C,50,50,1771,10.6,22.4,0.474,0,0.1,0,10.6,22.2,0.477,6.2,8.4,0.739,3.4,9,12.4,2.8,1.5,2.8,4.7,5.3,27.4,NA,99,101
1986-87,24,NYK,NBA,PF,63,63,2206,11.7,23.2,0.503,0,0.2,0,11.7,23.1,0.507,6.5,9.2,0.713,3.5,8.8,12.3,2.3,2,3.2,5.1,5.5,29.9,NA,102,106
1987-88,25,NYK,NBA,C,82,82,2546,12.5,22.5,0.555,0,0.1,0,12.5,22.5,0.556,6.5,9.1,0.716,4.7,8.2,12.9,2.4,2,4.7,5.5,6.3,31.5,NA,108,101
1988-89,26,NYK,NBA,C,80,80,2896,11.5,20.4,0.567,0,0.1,0,11.5,20.3,0.57,5.7,7.7,0.746,3.4,8.4,11.8,3,1.9,4.5,4.2,4.9,28.8,NA,115,103
1989-90,27,NYK,NBA,C,82,82,3165,14.2,25.8,0.551,0,0.1,0.25,14.2,25.8,0.552,7.8,10,0.775,3.6,10.2,13.8,2.8,1.2,5,4.3,5,36.2,NA,115,103
1990-91,28,NYK,NBA,C,81,81,3104,13.8,26.8,0.514,0,0.1,0,13.8,26.7,0.516,7.6,10.1,0.745,3.2,11.6,14.7,4,1.3,4.2,4.7,4.7,35.1,NA,107,101
1991-92,29,NYK,NBA,C,82,82,3150,13,25,0.522,0,0.1,0.167,13,24.9,0.523,6.2,8.4,0.738,3.7,11.4,15.1,2.6,1.4,4,3.4,4.5,32.3,NA,112,98
1992-93,30,NYK,NBA,C,81,81,3003,13.2,26.2,0.503,0,0.1,0.143,13.2,26.1,0.504,6.8,9.4,0.719,3.2,13.3,16.6,2.6,1.3,2.7,4.5,4.8,33.1,NA,105,94
1993-94,31,NYK,NBA,C,79,79,2972,13,26.1,0.496,0.1,0.2,0.286,12.9,25.9,0.498,7.7,10.1,0.765,3.8,11.6,15.4,3.1,1.6,3.8,4.5,4.8,33.7,NA,108,93
1994-95,32,NYK,NBA,C,79,79,2920,13.2,26.2,0.503,0.1,0.4,0.286,13.1,25.8,0.506,7.6,10.1,0.75,2.8,12.8,15.6,3.8,1.2,2.9,4.6,4.9,34,NA,106,98
1995-96,33,NYK,NBA,C,76,76,2783,12.8,27.6,0.466,0.1,0.5,0.143,12.8,27.1,0.472,6.7,8.7,0.761,3,12.3,15.3,3,1.3,3.5,4.2,4.7,32.4,NA,100,98
1996-97,34,NYK,NBA,C,78,78,2887,12,24.6,0.488,0,0.2,0.222,12,24.5,0.49,8.1,10.7,0.754,3.2,12.1,15.3,2.9,1.3,3.5,4.9,4.6,32.2,NA,104,96
1997-98,35,NYK,NBA,C,26,26,848,13,25.9,0.504,0,0.1,0,13,25.7,0.506,8.6,11.9,0.72,3.8,13.2,17,1.8,1,3.7,4.9,4.7,34.7,NA,103,94
1998-99,36,NYK,NBA,C,38,38,1300,10.5,24.1,0.435,0,0.1,0,10.5,24.1,0.436,6.9,9.8,0.706,3.1,12.9,16,1.8,1.3,4.3,4.2,4.5,27.9,NA,95,91
1999-00,37,NYK,NBA,C,62,62,2035,9.5,20.5,0.466,0,0.1,0,9.5,20.4,0.467,5.5,7.5,0.731,3.7,12.3,16,1.5,1,2.2,3.8,5.2,24.6,NA,99,97
2000-01,38,SEA,NBA,C,79,79,2107,7.3,17,0.43,0,0,0,7.3,17,0.431,4.3,6.2,0.685,3.1,11.5,14.6,2.3,1.3,2.3,3.8,5.7,18.9,NA,93,102
2001-02,39,ORL,NBA,C,65,4,901,8.5,19,0.444,0,0.1,0,8.5,19,0.446,5.4,7.7,0.701,3.4,11.6,15,2,1.3,2.6,3.7,7.4,22.3,NA,96,101
Career,NA,,NBA,,1183,1122,40594,12.2,24.1,0.504,0,0.2,0.152,12.1,23.9,0.507,6.8,9.1,0.74,3.4,11.1,14.5,2.8,1.4,3.6,4.4,5.1,31.1,NA,106,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15 seasons,NA,NYK,NBA,,1039,1039,37586,12.5,24.6,0.508,0,0.2,0.156,12.5,24.4,0.51,6.9,9.3,0.742,3.5,11.1,14.5,2.8,1.4,3.7,4.5,5,32,NA,106,99
1 season,NA,SEA,NBA,,79,79,2107,7.3,17,0.43,0,0,0,7.3,17,0.431,4.3,6.2,0.685,3.1,11.5,14.6,2.3,1.3,2.3,3.8,5.7,18.9,NA,93,102
1 season,NA,ORL,NBA,,65,4,901,8.5,19,0.444,0,0.1,0,8.5,19,0.446,5.4,7.7,0.701,3.4,11.6,15,2,1.3,2.6,3.7,7.4,22.3,NA,96,101
